time,est_tau1,est_tau2,est_tau3,est_tau4,est_tau5,est_tau6,meas_tau1,meas_tau2,meas_tau3,meas_tau4,meas_tau5,meas_tau6,gt_tau1,gt_tau2,gt_tau3,gt_tau4,gt_tau5,gt_tau6
3.15532,0.273095,-0.707468,-0.315027,-0.0870683,-1.68934,-0.147981,-4.81862,18.3446,8.11338,-1.50696,12.6353,5.05908,0,0,0,0,0,0
3.1603,0.303581,-0.716216,-0.321858,-0.129586,-1.75103,-0.190934,-4.81862,18.3446,8.11338,-1.50696,12.6353,5.05908,0,0,0,0,0,0
3.16532,0.322605,-0.709596,-0.343763,-0.145354,-1.81469,-0.222399,-3.93212,17.2848,9.39246,-3.41964,12.9913,4.31388,0,0,0,0,0,0
3.17032,0.338172,-0.685572,-0.375002,-0.154786,-1.87629,-0.241379,-4.55464,16.9775,8.83025,-2.22732,12.6518,3.96612,0,0,0,0,0,0
3.17531,0.347429,-0.661935,-0.401357,-0.16133,-1.92966,-0.257601,-3.47508,17.1075,8.88041,-3.51072,12.3041,4.19796,0,0,0,0,0,0
3.18033,0.348906,-0.636897,-0.413668,-0.164956,-1.97747,-0.263602,-3.93606,17.1981,8.01724,-2.49228,12.4945,3.37824,0,0,0,0,0,0
3.18532,0.358844,-0.612309,-0.418202,-0.175088,-2.02035,-0.256999,-4.13306,17.005,8.21161,-3.09672,11.9646,3.22092,0,0,0,0,0,0
3.19032,0.371151,-0.585146,-0.424746,-0.173685,-2.05572,-0.250975,-4.13306,17.005,8.21161,-3.09672,11.9646,3.22092,0,0,0,0,0,0
3.19532,0.376401,-0.557266,-0.432433,-0.17229,-2.08699,-0.270019,-3.60904,16.8317,8.27222,-2.90628,11.6665,5.11704,0,0,0,0,0,0
3.2003,0.375189,-0.529307,-0.440928,-0.170237,-2.11473,-0.310828,-3.60904,16.8317,8.27222,-2.90628,11.6665,5.11704,0,0,0,0,0,0
3.2053,0.385403,-0.510929,-0.430039,-0.162103,-2.12731,-0.345038,-4.55858,17.403,6.66501,-3.2706,10.4328,4.7196,0,0,0,0,0,0
3.21031,0.40686,-0.504634,-0.402785,-0.150929,-2.12563,-0.372829,-4.55858,17.403,6.66501,-3.2706,10.4328,4.7196,0,0,0,0,0,0
3.2153,0.428726,-0.502961,-0.389999,-0.136,-2.13103,-0.383777,-4.67678,17.4857,7.59715,-3.66804,10.9296,3.4362,0,0,0,0,0,0
3.22032,0.451859,-0.50454,-0.390608,-0.119573,-2.14352,-0.379875,-4.67678,17.4857,7.59715,-3.66804,10.9296,3.4362,0,0,0,0,0,0
3.2253,0.470823,-0.501017,-0.390019,-0.102164,-2.16006,-0.365734,-4.40886,16.9302,7.41114,-3.91644,11.2277,2.53368,0,0,0,0,0,0
3.23032,0.485986,-0.486823,-0.384677,-0.0822003,-2.17834,-0.341127,-4.40886,16.9302,7.41114,-3.91644,11.2277,2.53368,0,0,0,0,0,0
3.23532,0.504256,-0.4726,-0.381833,-0.0766006,-2.19628,-0.344406,-4.73982,17.0208,7.68911,-2.78208,11.3022,4.72788,0,0,0,0,0,0
3.24031,0.528384,-0.458957,-0.374754,-0.0719483,-2.21486,-0.361397,-4.7674,16.9696,7.07883,-3.79224,11.327,3.77568,0,0,0,0,0,0
3.24532,0.536542,-0.441928,-0.365858,-0.0516672,-2.22429,-0.373734,-3.60904,16.7135,7.52818,-4.15656,10.5984,4.24764,0,0,0,0,0,0
