time,est_tau1,est_tau2,est_tau3,est_tau4,est_tau5,est_tau6,meas_tau1,meas_tau2,meas_tau3,meas_tau4,meas_tau5,meas_tau6,gt_tau1,gt_tau2,gt_tau3,gt_tau4,gt_tau5,gt_tau6
3.00029,0,0,0,0,0,0,-2.96288,17.9625,8.24714,-2.20248,11.6914,3.41964,0,0,0,0,0,0
3.00538,-0.0055761,-0.03861,-0.0226585,-0.0116259,-0.0356682,-0.0054666,-2.96288,17.9625,8.24714,-2.20248,11.6914,3.41964,0,0,0,0,0,0
3.0103,-0.015969,-0.0982142,-0.0613738,-0.0309671,-0.0814193,-0.0155286,-3.69178,18.0688,8.37881,-3.17124,10.1016,2.90628,0,0,0,0,0,0
3.01529,-0.00402473,-0.169076,-0.112194,-0.0448679,-0.128884,-0.0235578,-2.56494,17.7103,8.00052,-3.89988,10.9296,3.6846,0,0,0,0,0,0
3.02032,-0.0148375,-0.239127,-0.1616,-0.0472924,-0.178385,-0.0388508,-2.56494,17.7103,8.00052,-3.89988,10.9296,3.6846,0,0,0,0,0,0
3.0253,-0.0451962,-0.304611,-0.207851,-0.0409636,-0.228246,-0.0592941,-4.0976,17.2769,7.74345,-3.08016,11.2939,2.62476,0,0,0,0,0,0
3.03032,-0.0337505,-0.356901,-0.245879,-0.0358691,-0.279154,-0.0712456,-4.0976,17.2769,7.74345,-3.08016,11.2939,2.62476,0,0,0,0,0,0
3.03529,0.0105379,-0.394717,-0.276713,-0.0310664,-0.32993,-0.074844,-2.89196,16.9735,7.30455,-3.99924,12.0226,2.277,0,0,0,0,0,0
3.04032,0.0329626,-0.414277,-0.293416,-0.0163416,-0.381721,-0.0674281,-3.37264,16.7214,8.0465,-2.99736,11.2277,2.6082,0,0,0,0,0,0
3.04531,0.0550612,-0.413814,-0.318718,-0.00734411,-0.433238,-0.0549821,-3.70754,16.5007,8.55019,-2.59992,10.0105,3.7674,0,0,0,0,0,0
3.05022,0.0883853,-0.391093,-0.360798,-0.00544088,-0.483818,-0.0530381,-3.70754,16.5007,8.55019,-2.59992,10.0105,3.7674,0,0,0,0,0,0
3.05528,0.129893,-0.3506,-0.414905,-0.00805842,-0.535812,-0.0605487,-4.21974,16.5244,8.40807,-2.68272,9.70416,3.77568,0,0,0,0,0,0
3.06032,0.193216,-0.299613,-0.472357,-0.0156741,-0.587368,-0.0764004,-3.5263,16.5559,7.70792,-2.6082,11.4264,3.08016,0,0,0,0,0,0
3.0653,0.247157,-0.243009,-0.516497,-0.0280022,-0.638513,-0.0898447,-3.5263,16.5559,7.70792,-2.6082,11.4264,3.08016,0,0,0,0,0,0
3.07032,0.29482,-0.182597,-0.549516,-0.0439759,-0.690213,-0.101013,-4.26702,16.8593,7.90856,-3.53556,10.6812,3.55212,0,0,0,0,0,0
3.07533,0.359884,-0.127538,-0.578635,-0.0520292,-0.741782,-0.115827,-4.6886,17.2139,7.62014,-3.84192,11.5175,2.74896,0,0,0,0,0,0
3.08033,0.443934,-0.0859965,-0.597759,-0.0512646,-0.793372,-0.123297,-3.81786,18.057,7.6703,-3.0222,10.0022,3.28716,0,0,0,0,0,0
3.0853,0.509857,-0.0798207,-0.611168,-0.0534873,-0.844466,-0.13036,-3.81786,18.057,7.6703,-3.0222,10.0022,3.28716,0,0,0,0,0,0
3.09031,0.559535,-0.105321,-0.620669,-0.0586294,-0.895753,-0.13673,-4.3931,18.7977,7.21886,-2.55024,10.35,2.3184,0,0,0,0,0,0
3.0953,0.617673,-0.167129,-0.614002,-0.0699576,-0.946685,-0.130476,-4.4719,18.652,7.02031,-3.42792,11.592,3.70116,0,0,0,0,0,0
3.10031,0.683082,-0.244533,-0.588489,-0.07672,-0.998018,-0.129965,-3.75088,18.585,7.2523,-2.80692,10.499,3.45276,0,0,0,0,0,0
3.10532,0.728126,-0.329415,-0.555711,-0.0865144,-1.04922,-0.132709,-3.85726,18.7505,7.70374,-2.95596,11.6582,3.91644,0,0,0,0,0,0
3.11032,0.75996,-0.419444,-0.529921,-0.0981673,-1.10051,-0.144193,-3.85726,18.7505,7.70374,-2.95596,11.6582,3.91644,0,0,0,0,0,0
3.11533,0.780299,-0.512679,-0.510716,-0.111821,-1.15203,-0.162669,-3.31748,18.8371,8.37672,-3.2292,10.5984,3.51072,0,0,0,0,0,0
3.12032,0.772772,-0.607063,-0.511966,-0.123825,-1.20322,-0.181729,-3.31748,18.8371,8.37672,-3.2292,10.5984,3.51072,0,0,0,0,0,0
3.12531,0.742704,-0.701907,-0.529514,-0.134315,-1.25426,-0.201043,-3.58934,18.7702,8.16772,-2.3184,12.3952,3.82536,0,0,0,0,0,0
3.13032,0.703782,-0.796343,-0.553086,-0.153265,-1.30578,-0.223872,-3.58934,18.7702,8.16772,-2.3184,12.3952,3.82536,0,0,0,0,0,0
3.13531,0.658354,-0.888952,-0.579666,-0.177486,-1.35728,-0.249038,-3.66814,19.0223,7.86467,-3.59352,13.1238,3.07188,0,0,0,0,0,0
3.14031,0.612257,-0.980874,-0.600543,-0.191058,-1.40914,-0.267428,-3.66814,19.0223,7.86467,-3.59352,13.1238,3.07188,0,0,0,0,0,0
