time,est_tau1,est_tau2,est_tau3,est_tau4,est_tau5,est_tau6,meas_tau1,meas_tau2,meas_tau3,meas_tau4,meas_tau5,meas_tau6,gt_tau1,gt_tau2,gt_tau3,gt_tau4,gt_tau5,gt_tau6
3.00029,0,0,0,0,0,0,-2.96288,17.9625,8.24714,-2.20248,11.6914,3.41964,0,0,0,0,0,0
3.00538,-0.00739418,-0.0315037,-0.0228756,-0.0463186,-0.346922,-0.0433973,-2.96288,17.9625,8.24714,-2.20248,11.6914,3.41964,0,0,0,0,0,0
3.0103,0.00331317,-0.0612863,-0.0459926,-0.062084,-0.585718,-0.0578644,-3.69178,18.0688,8.37881,-3.17124,10.1016,2.90628,0,0,0,0,0,0
3.01529,0.00305383,-0.0857163,-0.0647522,-0.0297577,-0.755323,-0.0840843,-2.56494,17.7103,8.00052,-3.89988,10.9296,3.6846,0,0,0,0,0,0
3.02032,-0.0257736,-0.101925,-0.076231,0.00958119,-0.945517,-0.146043,-2.56494,17.7103,8.00052,-3.89988,10.9296,3.6846,0,0,0,0,0,0
3.0253,-0.0156259,-0.110485,-0.0833738,0.0204892,-1.13446,-0.149418,-4.0976,17.2769,7.74345,-3.08016,11.2939,2.62476,0,0,0,0,0,0
3.03032,0.0317845,-0.112147,-0.0869684,0.0149517,-1.32486,-0.0890833,-4.0976,17.2769,7.74345,-3.08016,11.2939,2.62476,0,0,0,0,0,0
3.03529,0.0460955,-0.109477,-0.0854575,0.0358023,-1.53239,-0.0109675,-2.89196,16.9735,7.30455,-3.99924,12.0226,2.277,0,0,0,0,0,0
3.04032,0.0384486,-0.102032,-0.0900555,0.0499378,-1.72174,0.0566032,-3.37264,16.7214,8.0465,-2.99736,11.2277,2.6082,0,0,0,0,0,0
3.04531,0.0504759,-0.0919285,-0.112636,0.0216978,-1.79472,0.037138,-3.70754,16.5007,8.55019,-2.59992,10.0105,3.7674,0,0,0,0,0,0
3.05022,0.0709346,-0.0797371,-0.14132,-0.00429274,-1.79121,-0.0447834,-3.70754,16.5007,8.55019,-2.59992,10.0105,3.7674,0,0,0,0,0,0
3.05528,0.104277,-0.0677694,-0.169074,-0.0207358,-1.76746,-0.12655,-4.21974,16.5244,8.40807,-2.68272,9.70416,3.77568,0,0,0,0,0,0
3.06032,0.13266,-0.0562849,-0.185164,-0.0427952,-1.81672,-0.163994,-3.5263,16.5559,7.70792,-2.6082,11.4264,3.08016,0,0,0,0,0,0
3.0653,0.144981,-0.0443883,-0.190619,-0.0646433,-1.94873,-0.154949,-3.5263,16.5559,7.70792,-2.6082,11.4264,3.08016,0,0,0,0,0,0
3.07032,0.176605,-0.0355057,-0.197968,-0.0615701,-2.03533,-0.16501,-4.26702,16.8593,7.90856,-3.53556,10.6812,3.55212,0,0,0,0,0,0
3.07533,0.234705,-0.0350223,-0.205293,-0.0295382,-2.11869,-0.159882,-4.6886,17.2139,7.62014,-3.84192,11.5175,2.74896,0,0,0,0,0,0
3.08033,0.276731,-0.0480971,-0.210058,-0.0192553,-2.158,-0.136533,-3.81786,18.057,7.6703,-3.0222,10.0022,3.28716,0,0,0,0,0,0
3.0853,0.290003,-0.0721722,-0.216746,-0.0324455,-2.11746,-0.136238,-3.81786,18.057,7.6703,-3.0222,10.0022,3.28716,0,0,0,0,0,0
3.09031,0.313663,-0.106017,-0.218633,-0.0577979,-2.0954,-0.0859444,-4.3931,18.7977,7.21886,-2.55024,10.35,2.3184,0,0,0,0,0,0
3.0953,0.356516,-0.145269,-0.211167,-0.0634359,-2.15678,-0.0614357,-4.4719,18.652,7.02031,-3.42792,11.592,3.70116,0,0,0,0,0,0
3.10031,0.38322,-0.183042,-0.204262,-0.0664471,-2.22322,-0.0959211,-3.75088,18.585,7.2523,-2.80692,10.499,3.45276,0,0,0,0,0,0
3.10532,0.39413,-0.223423,-0.207394,-0.0782439,-2.28971,-0.149802,-3.85726,18.7505,7.70374,-2.95596,11.6582,3.91644,0,0,0,0,0,0
3.11032,0.405706,-0.26699,-0.217428,-0.0913434,-2.41008,-0.222728,-3.85726,18.7505,7.70374,-2.95596,11.6582,3.91644,0,0,0,0,0,0
3.11533,0.402344,-0.312562,-0.23643,-0.0993913,-2.46981,-0.269435,-3.31748,18.8371,8.37672,-3.2292,10.5984,3.51072,0,0,0,0,0,0
3.12032,0.388394,-0.355454,-0.261117,-0.101103,-2.46504,-0.288736,-3.31748,18.8371,8.37672,-3.2292,10.5984,3.51072,0,0,0,0,0,0
3.12531,0.382966,-0.394883,-0.281489,-0.124998,-2.54608,-0.319899,-3.58934,18.7702,8.16772,-2.3184,12.3952,3.82536,0,0,0,0,0,0
3.13032,0.381421,-0.429771,-0.296537,-0.167318,-2.70916,-0.365974,-3.58934,18.7702,8.16772,-2.3184,12.3952,3.82536,0,0,0,0,0,0
3.13531,0.379372,-0.464634,-0.306319,-0.173208,-2.89365,-0.371327,-3.66814,19.0223,7.86467,-3.59352,13.1238,3.07188,0,0,0,0,0,0
3.14031,0.378852,-0.49988,-0.31173,-0.14203,-3.09682,-0.327832,-3.66814,19.0223,7.86467,-3.59352,13.1238,3.07188,0,0,0,0,0,0
3.14531,0.383905,-0.535309,-0.313913,-0.110403,-3.24525,-0.280918,-3.92424,19.1917,7.60342,-3.53556,12.4117,3.0636,0,0,0,0,0,0
3.15029,0.394413,-0.568279,-0.310792,-0.0935741,-3.33452,-0.244553,-3.92424,19.1917,7.60342,-3.53556,12.4117,3.0636,0,0,0,0,0,0
3.15532,0.426118,-0.590882,-0.313496,-0.134883,-3.42162,-0.316337,-4.81862,18.3446,8.11338,-1.50696,12.6353,5.05908,0,0,0,0,0,0
3.1603,0.480733,-0.600437,-0.320413,-0.219313,-3.50208,-0.476313,-4.81862,18.3446,8.11338,-1.50696,12.6353,5.05908,0,0,0,0,0,0
3.16532,0.511894,-0.597519,-0.342835,-0.24895,-3.5892,-0.583656,-3.93212,17.2848,9.39246,-3.41964,12.9913,4.31388,0,0,0,0,0,0
3.17032,0.534722,-0.580273,-0.374756,-0.263612,-3.66551,-0.629744,-4.55464,16.9775,8.83025,-2.22732,12.6518,3.96612,0,0,0,0,0,0
3.17531,0.544176,-0.563079,-0.401768,-0.271791,-3.70637,-0.658808,-3.47508,17.1075,8.88041,-3.51072,12.3041,4.19796,0,0,0,0,0,0
3.18033,0.537554,-0.544581,-0.414645,-0.273784,-3.72448,-0.644456,-3.93606,17.1981,8.01724,-2.49228,12.4945,3.37824,0,0,0,0,0,0
3.18532,0.548045,-0.526341,-0.41934,-0.288905,-3.72423,-0.579002,-4.13306,17.005,8.21161,-3.09672,11.9646,3.22092,0,0,0,0,0,0
3.19032,0.563761,-0.505879,-0.425992,-0.280755,-3.69705,-0.519135,-4.13306,17.005,8.21161,-3.09672,11.9646,3.22092,0,0,0,0,0,0
3.19532,0.565151,-0.484679,-0.433822,-0.272375,-3.65816,-0.566431,-3.60904,16.8317,8.27222,-2.90628,11.6665,5.11704,0,0,0,0,0,0
3.2003,0.55333,-0.463322,-0.442411,-0.263018,-3.61149,-0.7038,-3.60904,16.8317,8.27222,-2.90628,11.6665,5.11704,0,0,0,0,0,0
3.2053,0.564804,-0.449543,-0.431457,-0.241677,-3.51041,-0.80988,-4.55858,17.403,6.66501,-3.2706,10.4328,4.7196,0,0,0,0,0,0
3.21031,0.599634,-0.445534,-0.403649,-0.214502,-3.35997,-0.881384,-4.55858,17.403,6.66501,-3.2706,10.4328,4.7196,0,0,0,0,0,0
3.2153,0.635051,-0.445317,-0.390359,-0.18048,-3.25107,-0.878408,-4.67678,17.4857,7.59715,-3.66804,10.9296,3.4362,0,0,0,0,0,0
3.22032,0.672615,-0.447755,-0.390803,-0.143998,-3.18394,-0.812761,-4.67678,17.4857,7.59715,-3.66804,10.9296,3.4362,0,0,0,0,0,0
3.2253,0.700775,-0.446074,-0.390212,-0.106795,-3.14369,-0.709333,-4.40886,16.9302,7.41114,-3.91644,11.2277,2.53368,0,0,0,0,0,0
3.23032,0.720773,-0.435627,-0.384777,-0.0650325,-3.11722,-0.56962,-4.40886,16.9302,7.41114,-3.91644,11.2277,2.53368,0,0,0,0,0,0
3.23532,0.746518,-0.425027,-0.381826,-0.0535132,-3.09464,-0.553062,-4.73982,17.0208,7.68911,-2.78208,11.3022,4.72788,0,0,0,0,0,0
3.24031,0.783816,-0.414836,-0.37463,-0.0449877,-3.07891,-0.600051,-4.7674,16.9696,7.07883,-3.79224,11.327,3.77568,0,0,0,0,0,0
3.24532,0.788508,-0.401807,-0.365525,-0.0049756,-3.02983,-0.628541,-3.60904,16.7135,7.52818,-4.15656,10.5984,4.24764,0,0,0,0,0,0
3.25031,0.783765,-0.383075,-0.355147,0.0265769,-2.93444,-0.62381,-4.41674,16.5283,7.06838,-3.78396,10.408,3.12984,0,0,0,0,0,0
3.2553,0.787692,-0.358464,-0.353353,0.0196444,-2.80183,-0.627246,-4.01092,16.2998,8.32656,-3.01392,9.8946,4.38012,0,0,0,0,0,0
3.26031,0.765741,-0.339403,-0.366691,-8.2413e-05,-2.68952,-0.626645,-3.54206,16.5401,7.90856,-3.13812,10.292,3.36168,0,0,0,0,0,0
3.26532,0.730396,-0.325788,-0.376792,-0.00597106,-2.61573,-0.568186,-3.54206,16.5401,7.90856,-3.13812,10.292,3.36168,0,0,0,0,0,0
3.27032,0.698783,-0.317868,-0.392113,-0.00568731,-2.61122,-0.550703,-3.70754,16.879,8.2346,-3.11328,11.4098,4.18968,0,0,0,0,0,0
3.27532,0.67794,-0.310893,-0.409163,-0.0110296,-2.65779,-0.575224,-3.70754,16.879,8.2346,-3.11328,11.4098,4.18968,0,0,0,0,0,0
3.28033,0.671023,-0.304911,-0.419068,0.000529772,-2.68402,-0.589455,-4.14488,17.0563,7.76017,-3.8916,11.1449,4.0158,0,0,0,0,0,0
3.28531,0.676815,-0.298896,-0.420683,0.0266574,-2.68881,-0.599545,-4.14488,17.0563,7.76017,-3.8916,11.1449,4.0158,0,0,0,0,0,0
3.2903,0.703247,-0.297593,-0.422058,0.00878309,-2.66938,-0.591622,-5.0038,17.5448,7.80406,-2.24388,10.7309,3.59352,0,0,0,0,0,0
3.2953,0.754618,-0.301604,-0.424204,-0.0416292,-2.63432,-0.570294,-5.0038,17.5448,7.80406,-2.24388,10.7309,3.59352,0,0,0,0,0,0
3.30031,0.804594,-0.31323,-0.425223,-0.0644902,-2.58562,-0.501854,-4.98804,18.1989,7.66403,-3.0636,10.3417,2.53368,0,0,0,0,0,0
3.30532,0.850136,-0.332863,-0.425575,-0.0713293,-2.52457,-0.386495,-4.98804,18.1989,7.66403,-3.0636,10.3417,2.53368,0,0,0,0,0,0
3.31031,0.872628,-0.356608,-0.431246,-0.103444,-2.4951,-0.363981,-4.28278,18.4707,8.0047,-2.1528,10.822,4.18968,0,0,0,0,0,0
3.31531,0.88028,-0.379217,-0.438261,-0.159687,-2.48962,-0.434754,-4.28278,18.4707,8.0047,-2.1528,10.822,4.18968,0,0,0,0,0,0
3.32031,0.870049,-0.398005,-0.442394,-0.191457,-2.49036,-0.491936,-3.56964,18.2422,7.87094,-3.07188,10.9544,3.933,0,0,0,0,0,0
3.32531,0.855801,-0.405386,-0.442842,-0.200561,-2.41334,-0.53583,-4.22762,17.4857,7.76226,-3.12156,9.28188,4.10688,0,0,0,0,0,0
3.33031,0.85785,-0.403521,-0.441122,-0.196497,-2.25323,-0.558584,-4.22762,17.4857,7.76226,-3.12156,9.28188,4.10688,0,0,0,0,0,0
3.33531,0.848195,-0.403077,-0.437755,-0.191157,-2.176,-0.511506,-3.8218,17.6197,7.60969,-2.90628,10.7226,3.0636,0,0,0,0,0,0
3.34032,0.832916,-0.404081,-0.433075,-0.193171,-2.18858,-0.417301,-3.8218,17.6197,7.60969,-2.90628,10.7226,3.0636,0,0,0,0,0,0
3.34532,0.831284,-0.395039,-0.439263,-0.185751,-2.23338,-0.43915,-4.31824,16.5047,8.38926,-3.32856,11.2194,5.175,0,0,0,0,0,0
3.3503,0.823603,-0.367988,-0.452322,-0.193607,-2.27308,-0.534547,-3.66814,16.1146,8.31193,-2.74896,10.9462,4.45464,0,0,0,0,0,0
3.3553,0.80429,-0.336138,-0.463277,-0.218394,-2.29368,-0.595016,-3.66814,16.1146,8.31193,-2.74896,10.9462,4.45464,0,0,0,0,0,0
3.36022,0.837904,-0.303887,-0.469137,-0.223378,-2.31759,-0.645711,-5.72876,15.9294,7.92737,-3.53556,11.0786,4.347,0,0,0,0,0,0
3.36518,0.885525,-0.268711,-0.474176,-0.222338,-2.3874,-0.627664,-4.35764,15.7285,8.24505,-3.17952,11.741,3.34512,0,0,0,0,0,0
3.37032,0.894739,-0.23217,-0.484181,-0.233723,-2.48854,-0.548036,-4.35764,15.7285,8.24505,-3.17952,11.741,3.34512,0,0,0,0,0,0
3.3753,0.879328,-0.205975,-0.491993,-0.252145,-2.53944,-0.502659,-3.56964,16.4022,8.01724,-2.90628,10.9627,3.96612,0,0,0,0,0,0
3.38032,0.844514,-0.189632,-0.498899,-0.27313,-2.54835,-0.498554,-3.56964,16.4022,8.01724,-2.90628,10.9627,3.96612,0,0,0,0,0,0
3.38532,0.839057,-0.177523,-0.499322,-0.293757,-2.56946,-0.543456,-4.73194,16.5559,7.38606,-2.75724,11.2111,4.83552,0,0,0,0,0,0
3.39031,0.846751,-0.167792,-0.507657,-0.325846,-2.66045,-0.623427,-4.05426,16.3865,8.52511,-2.47572,12.2461,4.52088,0,0,0,0,0,0
3.39532,0.840268,-0.152851,-0.527379,-0.363366,-2.78887,-0.671589,-4.05426,16.3865,8.52511,-2.47572,12.2461,4.52088,0,0,0,0,0,0
3.4003,0.845365,-0.137781,-0.536423,-0.369639,-2.83319,-0.69911,-4.51918,16.4613,7.78734,-3.61008,10.8965,4.35528,0,0,0,0,0,0
3.40531,0.843025,-0.127823,-0.535605,-0.348992,-2.84813,-0.652842,-3.83362,16.9775,7.86676,-3.3534,11.8238,3.04704,0,0,0,0,0,0
