time,res_0,res_1,res_2,res_3,res_4,res_5,g_0,g_1,g_2,g_3,g_4,g_5,c_0,c_1,c_2,c_3,c_4,c_5,f_0,f_1,f_2,f_3,f_4,f_5,qd_raw_0,qd_raw_1,qd_raw_2,qd_raw_3,qd_raw_4,qd_raw_5,qd_smooth_0,qd_smooth_1,qd_smooth_2,qd_smooth_3,qd_smooth_4,qd_smooth_5
3.06032,0.0273025,-0.0516512,-0.118619,-0.00304336,-0.22278,-0.0109658,0.0162084,10.3065,5.47368,0.209857,3.88792,0.172967,-0.00305925,-0.00373217,-0.00276881,-1.0511e-05,0.00015443,0.000632459,-3.15718,6.53845,1.65915,-3.20892,4.29727,2.81451,-0.167552,0.020944,0.127758,-0.211534,0.108909,0.144513,-0.174458,0.0229832,0.115835,-0.20954,0.10655,0.130451
3.0653,0.0405021,-0.0525659,-0.149627,-0.00659242,-0.285676,-0.0147794,0.0162084,10.3065,5.47368,0.209857,3.88792,0.172967,-0.00310605,-0.0037506,-0.00276291,-9.50881e-06,0.000158803,0.000635618,-3.15113,6.52464,1.66367,-3.20986,4.29998,2.82404,-0.167552,0.020944,0.127758,-0.211534,0.108909,0.144513,-0.172812,0.0224974,0.118676,-0.210015,0.107112,0.133801
3.07032,0.0589154,-0.0535929,-0.184379,-0.00953759,-0.357724,-0.0202502,0.017658,10.3056,5.47305,0.210242,3.88653,0.172724,-0.00317305,-0.0038659,-0.00284417,-1.84545e-05,0.000156515,0.000641695,-3.15758,6.51319,1.66474,-3.21656,4.29963,2.8242,-0.180118,0.020944,0.121475,-0.2241,0.106814,0.134041,-0.174565,0.0221248,0.119347,-0.213393,0.107041,0.133859
3.07533,0.0839939,-0.0572292,-0.21998,-0.0121892,-0.439516,-0.0243206,0.0194217,10.3045,5.4723,0.21078,3.88502,0.172518,-0.0033234,-0.00416733,-0.00304816,-3.26699e-05,0.000126364,0.00066076,-3.16984,6.42301,1.66874,-3.23554,4.3139,2.83859,-0.188496,0.0125664,0.129852,-0.253422,0.119381,0.154985,-0.1779,0.0198362,0.121862,-0.222978,0.109995,0.138917
3.08033,0.109156,-0.0708477,-0.256866,-0.0161332,-0.525774,-0.0282742,0.0217194,10.303,5.47129,0.211295,3.88297,0.172132,-0.00347385,-0.00447989,-0.00329051,-4.74323e-05,8.99195e-05,0.000678837,-3.19389,6.25146,1.67178,-3.24599,4.32231,2.85663,-0.205251,0.00837758,0.129852,-0.245044,0.117286,0.165457,-0.184438,0.0170972,0.123772,-0.228252,0.111738,0.145261
3.0853,0.134283,-0.095009,-0.293971,-0.0210702,-0.614904,-0.0321935,0.0217194,10.303,5.47129,0.211295,3.88297,0.172132,-0.00355726,-0.00465724,-0.00344038,-4.99273e-05,6.07566e-05,0.000692875,-3.21211,6.051,1.67408,-3.25391,4.32868,2.87031,-0.205251,0.00837758,0.129852,-0.245044,0.117286,0.165457,-0.189392,0.0150217,0.125219,-0.232249,0.113059,0.150068
3.09031,0.165682,-0.132164,-0.326379,-0.0262595,-0.708105,-0.0331055,0.02499,10.3009,5.46981,0.212204,3.87972,0.171604,-0.00366324,-0.004737,-0.00346924,-6.76065e-05,8.09226e-05,0.000687539,-3.20579,5.97942,1.67904,-3.2441,4.32389,2.87223,-0.182212,0.0125664,0.13823,-0.211534,0.108909,0.152891,-0.187675,0.0144345,0.128331,-0.227295,0.112066,0.150743
3.0953,0.202273,-0.180991,-0.353025,-0.0314515,-0.807968,-0.0357872,0.0267979,10.2999,5.46903,0.212915,3.87812,0.17141,-0.00372823,-0.00494124,-0.00358734,-8.69112e-05,5.86151e-05,0.00069277,-3.20467,5.98632,1.67882,-3.25646,4.32991,2.88222,-0.186401,0.0146608,0.127758,-0.253422,0.117286,0.165457,-0.18737,0.0144885,0.128194,-0.233534,0.113313,0.154257
3.10031,0.238669,-0.241792,-0.376788,-0.0371987,-0.909985,-0.0408889,0.0285146,10.2988,5.46826,0.21339,3.87647,0.171155,-0.00371348,-0.0049623,-0.00359543,-9.62869e-05,5.98496e-05,0.00068544,-3.20198,5.99155,1.67626,-3.25596,4.32966,2.86703,-0.184307,0.0146608,0.121475,-0.232478,0.113097,0.131947,-0.186637,0.0145298,0.126585,-0.233281,0.113261,0.148915
3.10532,0.273742,-0.314937,-0.400917,-0.0452493,-1.01751,-0.0492409,0.0303352,10.2976,5.46744,0.213934,3.87476,0.170897,-0.00375447,-0.00515018,-0.0037272,-0.000111142,3.07295e-05,0.000688044,-3.20914,5.92977,1.67431,-3.27047,4.32947,2.86831,-0.194779,0.0125664,0.121475,-0.263894,0.113097,0.150796,-0.188585,0.01406,0.125363,-0.240605,0.113222,0.149365
