time,res_0,res_1,res_2,res_3,res_4,res_5,m_0,m_1,m_2,m_3,m_4,m_5,g_0,g_1,g_2,g_3,g_4,g_5,c_0,c_1,c_2,c_3,c_4,c_5,f_0,f_1,f_2,f_3,f_4,f_5
2.07047,0.205846,-0.703325,0.531646,0.204468,0.216773,-0.10634,-0.000205818,-0.000233577,-7.54879e-05,-0.0214092,-6.73542e-05,0.00615252,-0.0576053,10.3351,5.49322,0.198311,3.93375,0.189198,5.60073e-14,2.24288e-09,2.13841e-09,5.82232e-14,8.82273e-10,7.82123e-14,0.450252,0.313874,-0.214372,0.170782,0.241735,-0.173619
2.07521,0.21493,-0.744253,0.56095,0.220336,0.223167,-0.119704,-0.000227878,-0.00157757,-0.000954995,-0.0165693,-0.000537962,-0.0172213,-0.0576034,10.3351,5.49322,0.198313,3.93375,0.189201,2.94713e-14,1.30217e-10,4.98846e-10,-3.65864e-14,1.06004e-10,-3.76952e-14,0.450252,0.313874,-0.214372,0.113475,0.241735,-0.26834
2.0804,0.224391,-0.788126,0.59259,0.232004,0.232824,-0.136711,-0.00010406,0.000177767,0.000157305,-0.0124247,6.98922e-05,0.00850175,-0.0576053,10.3351,5.49322,0.198311,3.93375,0.189198,2.54723e-14,7.54419e-11,2.84472e-10,2.41689e-15,6.07583e-11,2.49014e-15,0.450252,0.313874,-0.214372,0.0659523,0.241735,-0.216874
2.08524,0.232744,-0.828375,0.621155,0.237945,0.237806,-0.146215,-0.000472957,-0.00095875,-0.000452272,-0.0469166,-0.000303034,0.00644986,-0.0575951,10.3351,5.49322,0.198311,3.93375,0.189198,-2.0471e-14,3.28497e-09,2.11306e-09,-2.6656e-15,1.14322e-09,5.36075e-17,0.450252,0.313874,-0.214372,-0.101543,0.241735,-0.180008
2.09051,0.240911,-0.871341,0.651342,0.253344,0.234235,-0.160081,0.000732874,0.00113616,0.000469939,0.0745873,0.000346788,-0.0163606,-0.0575977,10.3351,5.49322,0.198309,3.93375,0.189196,9.16582e-14,6.36199e-11,8.3853e-10,8.3256e-15,1.38761e-10,8.41474e-15,0.450252,0.313874,-0.214372,0.187773,0.241735,-0.281131
2.09533,0.247959,-0.909838,0.67796,0.273734,0.232853,-0.179561,0.000168909,-0.000224096,-0.00021275,0.0198186,-9.08034e-05,-0.0126253,-0.0575951,10.3351,5.49322,0.198311,3.93375,0.189198,1.16278e-13,8.55097e-13,1.27275e-09,1.41758e-13,1.8632e-10,1.42315e-13,0.450252,0.313874,-0.214372,0.257546,0.241735,-0.351738
2.10032,0.254851,-0.948844,0.704798,0.294692,0.236643,-0.198949,-0.000193413,0.000122644,0.00015511,-0.0219697,5.69117e-05,0.0120162,-0.0576034,10.3351,5.49322,0.198313,3.93375,0.189201,3.77659e-14,-3.98096e-12,7.34905e-10,7.74862e-15,1.06442e-10,7.77906e-15,0.450252,0.313874,-0.214372,0.177522,0.241735,-0.282188
2.10541,0.260816,-0.987864,0.73145,0.309545,0.239863,-0.228418,-0.000282756,-0.00265575,-0.00164629,-0.0167872,-0.000912833,-0.0340898,-0.0576034,10.3351,5.49322,0.198313,3.93375,0.189201,-3.83219e-14,9.85927e-09,6.75034e-09,-3.71145e-15,3.49087e-09,4.46846e-15,0.450252,0.313874,-0.214372,0.115399,0.241735,-0.481143
2.11021,0.266096,-1.0238,0.75612,0.327852,0.243148,-0.248678,0.000708597,0.00293996,0.00167096,0.0621596,0.000982248,0.0177328,-0.0576034,10.3351,5.49322,0.198313,3.93375,0.189201,9.13921e-14,4.34587e-10,2.18956e-09,1.97076e-14,4.30511e-10,2.01547e-14,0.450252,0.313874,-0.214372,0.33264,0.241735,-0.3844
2.11536,0.271215,-1.06093,0.781735,0.350399,0.233872,-0.250714,-0.000239472,6.3173e-05,0.00013346,-0.0267218,3.93089e-05,0.0132618,-0.0576078,10.3351,5.49322,0.198309,3.93375,0.189196,1.20617e-13,2.48014e-10,1.24976e-09,1.12496e-14,2.45744e-10,1.15048e-14,0.450252,0.313874,-0.214372,0.232753,0.241735,-0.305316
2.12034,0.236076,-1.09495,0.803466,0.376535,0.164076,-0.203896,0.028927,0.086507,0.056376,-0.0933347,0.092143,-0.0319424,-0.0576059,10.3351,5.49322,0.198311,3.93375,0.189198,-2.77894e-09,3.88842e-08,1.72862e-08,-2.77124e-09,8.56467e-09,-3.38836e-09,0.599936,0.313874,-0.214372,-0.113494,0.775085,-0.495261
2.12532,0.179728,-1.12991,0.816464,0.383453,-0.00774785,-0.146788,0.251404,0.258128,0.171394,-0.43765,0.252889,-0.173489,-0.0576295,10.3351,5.49322,0.198297,3.93375,0.189183,7.229e-08,9.27768e-07,4.85463e-08,7.22716e-08,2.02842e-07,6.0418e-08,1.8095,0.313874,-0.214372,-1.56625,2.07706,-1.38696
2.13049,0.173223,-1.17601,0.812251,0.359522,-0.311312,-0.148558,0.358836,0.10345,0.0738439,-0.476744,0.067196,-0.175722,-0.0577741,10.3351,5.49323,0.198285,3.93376,0.189173,1.04006e-07,2.63957e-06,-1.14772e-06,1.03916e-07,5.27894e-07,8.66612e-08,2.90601,0.313874,-0.214372,-2.43065,2.37433,-1.99737
2.13523,0.212159,-1.21791,0.80253,0.321691,-0.623707,-0.190568,0.366741,0.294658,0.196401,-0.363915,0.271938,-0.197696,-0.0578662,10.3351,5.49324,0.198264,3.93377,0.189153,9.15214e-08,5.26791e-06,-3.29322e-06,9.15258e-08,8.86328e-07,5.13002e-08,3.30355,0.313874,-0.214372,-2.67134,3.13242,-2.33906
2.14024,0.269835,-1.25418,0.792057,0.284981,-0.952289,-0.241397,0.497564,0.744811,0.502873,-0.491226,0.53817,-0.229118,-0.0580684,10.3351,5.49326,0.198265,3.93379,0.189161,2.56392e-07,1.14226e-05,-7.46063e-06,-7.70112e-07,1.58454e-06,-8.47892e-07,3.47696,0.63058,0.0402585,-2.8011,3.69805,-2.52805
2.14563,0.336626,-1.29722,0.76429,0.249334,-1.29329,-0.297601,0.359566,0.439393,0.278953,-0.550252,0.406021,-0.21575,-0.0582453,10.3352,5.49329,0.198241,3.93382,0.189138,1.20118e-07,1.98472e-05,-1.08807e-05,-6.56771e-07,2.90688e-06,-8.63126e-07,3.52674,0.883925,-0.0235178,-2.85011,3.86194,-2.60328
2.1503,0.38891,-1.32079,0.739098,0.220931,-1.54876,-0.342258,0.262272,0.805664,0.522845,-0.608786,0.662394,-0.181637,-0.0584276,10.3352,5.49335,0.198212,3.93388,0.189113,9.51449e-07,3.16063e-05,-1.00939e-05,-3.1333e-07,4.94128e-06,-7.39055e-07,3.54648,1.34738,0.0925561,-2.87205,3.94164,-2.63212
2.15523,0.444438,-1.33027,0.708736,0.204853,-1.81514,-0.392647,0.555453,1.02363,0.659886,-0.568172,0.816159,-0.263012,-0.0587347,10.3353,5.4934,0.1982,3.93393,0.18911,1.28918e-07,4.90581e-05,-1.65273e-05,-1.61288e-06,6.7235e-06,-2.44238e-06,3.58357,2.00624,0.183895,-2.8888,4.00454,-2.65948
