time,est_tau1,est_tau2,est_tau3,est_tau4,est_tau5,est_tau6,meas_tau1,meas_tau2,meas_tau3,meas_tau4,meas_tau5,meas_tau6,gt_tau1,gt_tau2,gt_tau3,gt_tau4,gt_tau5,gt_tau6
3.00029,0,0,0,0,0,0,-2.96288,17.9625,8.24714,-2.20248,11.6914,3.41964,0,0,0,0,0,0
3.00538,-0.00856168,-0.108844,-0.0636917,-0.0557215,-0.22547,-0.0287431,-2.96288,17.9625,8.24714,-2.20248,11.6914,3.41964,0,0,0,0,0,0
3.0103,0.00126716,-0.171642,-0.102956,-0.0683334,-0.330159,-0.0349399,-3.69178,18.0688,8.37881,-3.17124,10.1016,2.90628,0,0,0,0,0,0
3.01529,0.000901994,-0.220066,-0.133078,-0.0391864,-0.411002,-0.0472026,-2.56494,17.7103,8.00052,-3.89988,10.9296,3.6846,0,0,0,0,0,0
3.02032,-0.024241,-0.24895,-0.149661,-0.00509765,-0.505608,-0.0753556,-2.56494,17.7103,8.00052,-3.89988,10.9296,3.6846,0,0,0,0,0,0
3.0253,-0.0146888,-0.261157,-0.158887,0.00439256,-0.604357,-0.0786071,-4.0976,17.2769,7.74345,-3.08016,11.2939,2.62476,0,0,0,0,0,0
3.03032,0.0266154,-0.257891,-0.16165,-2.37709e-05,-0.706995,-0.0551761,-4.0976,17.2769,7.74345,-3.08016,11.2939,2.62476,0,0,0,0,0,0
3.03529,0.0385091,-0.245688,-0.155718,0.0192694,-0.82199,-0.0234416,-2.89196,16.9735,7.30455,-3.99924,12.0226,2.277,0,0,0,0,0,0
3.04032,0.0318022,-0.223359,-0.160641,0.0318624,-0.931523,0.00497959,-3.37264,16.7214,8.0465,-2.99736,11.2277,2.6082,0,0,0,0,0,0
3.04531,0.0428932,-0.195931,-0.197301,0.0074715,-0.994358,-0.00282787,-3.70754,16.5007,8.55019,-2.59992,10.0105,3.7674,0,0,0,0,0,0
