time,est_tau1,est_tau2,est_tau3,est_tau4,est_tau5,est_tau6,meas_tau1,meas_tau2,meas_tau3,meas_tau4,meas_tau5,meas_tau6,gt_tau1,gt_tau2,gt_tau3,gt_tau4,gt_tau5,gt_tau6
3.00029,0,0,0,0,0,0,-2.96288,17.9625,8.24714,-2.20248,11.6914,3.41964,0,0,0,0,0,0
3.00538,-0.00465898,-0.0485638,-0.0339878,-0.0174388,-0.0537192,-0.00822706,-2.96288,17.9625,8.24714,-2.20248,11.6914,3.41964,0,0,0,0,0,0
3.0103,-0.0133718,-0.12242,-0.0908953,-0.0459919,-0.122176,-0.0231707,-3.69178,18.0688,8.37881,-3.17124,10.1016,2.90628,0,0,0,0,0,0
3.01529,-0.00352134,-0.209043,-0.163797,-0.065304,-0.192548,-0.0345665,-2.56494,17.7103,8.00052,-3.89988,10.9296,3.6846,0,0,0,0,0,0
3.02032,-0.0126488,-0.292452,-0.231221,-0.0666794,-0.266019,-0.0565973,-2.56494,17.7103,8.00052,-3.89988,10.9296,3.6846,0,0,0,0,0,0
3.0253,-0.0381806,-0.367991,-0.291159,-0.0547882,-0.340098,-0.0857818,-4.0976,17.2769,7.74345,-3.08016,11.2939,2.62476,0,0,0,0,0,0
3.03032,-0.029197,-0.423747,-0.335811,-0.0450431,-0.41596,-0.100858,-4.0976,17.2769,7.74345,-3.08016,11.2939,2.62476,0,0,0,0,0,0
3.03529,0.00725751,-0.459729,-0.368047,-0.0360337,-0.491757,-0.102808,-2.89196,16.9735,7.30455,-3.99924,12.0226,2.277,0,0,0,0,0,0
3.04032,0.0261185,-0.471839,-0.377364,-0.0125352,-0.569355,-0.0879764,-3.37264,16.7214,8.0465,-2.99736,11.2277,2.6082,0,0,0,0,0,0
3.04531,0.0450151,-0.458925,-0.399446,0.00142483,-0.64651,-0.0662528,-3.70754,16.5007,8.55019,-2.59992,10.0105,3.7674,0,0,0,0,0,0
3.05022,0.0735959,-0.41925,-0.448597,0.00420465,-0.721835,-0.0611632,-3.70754,16.5007,8.55019,-2.59992,10.0105,3.7674,0,0,0,0,0,0
3.05528,0.109522,-0.360813,-0.516474,-4.8344e-06,-0.798662,-0.0703889,-4.21974,16.5244,8.40807,-2.68272,9.70416,3.77568,0,0,0,0,0,0
3.06032,0.164106,-0.293097,-0.588668,-0.0117805,-0.87364,-0.0922343,-3.5263,16.5559,7.70792,-2.6082,11.4264,3.08016,0,0,0,0,0,0
3.0653,0.211884,-0.221406,-0.636951,-0.0304024,-0.948513,-0.109901,-3.5263,16.5559,7.70792,-2.6082,11.4264,3.08016,0,0,0,0,0,0
3.07032,0.255235,-0.147327,-0.666343,-0.0539846,-1.02445,-0.123678,-4.26702,16.8593,7.90856,-3.53556,10.6812,3.55212,0,0,0,0,0,0
3.07533,0.313267,-0.0824557,-0.68948,-0.0648735,-1.09973,-0.142797,-4.6886,17.2139,7.62014,-3.84192,11.5175,2.74896,0,0,0,0,0,0
3.08033,0.387218,-0.0370436,-0.697018,-0.06223,-1.1753,-0.150228,-3.81786,18.057,7.6703,-3.0222,10.0022,3.28716,0,0,0,0,0,0
3.0853,0.447675,-0.0379233,-0.69564,-0.0640013,-1.24868,-0.156904,-3.81786,18.057,7.6703,-3.0222,10.0022,3.28716,0,0,0,0,0,0
3.09031,0.49574,-0.0785866,-0.687492,-0.0700611,-1.3201,-0.16236,-4.3931,18.7977,7.21886,-2.55024,10.35,2.3184,0,0,0,0,0,0
3.0953,0.550778,-0.160465,-0.655291,-0.0853602,-1.38907,-0.148791,-4.4719,18.652,7.02031,-3.42792,11.592,3.70116,0,0,0,0,0,0
3.10031,0.611913,-0.258621,-0.599532,-0.0934015,-1.46039,-0.144329,-3.75088,18.585,7.2523,-2.80692,10.499,3.45276,0,0,0,0,0,0
3.10532,0.657262,-0.364321,-0.539365,-0.10586,-1.52965,-0.144819,-3.85726,18.7505,7.70374,-2.95596,11.6582,3.91644,0,0,0,0,0,0
3.11032,0.692097,-0.475577,-0.495032,-0.120882,-1.60079,-0.158626,-3.85726,18.7505,7.70374,-2.95596,11.6582,3.91644,0,0,0,0,0,0
3.11533,0.71768,-0.59027,-0.464497,-0.138618,-1.67324,-0.183188,-3.31748,18.8371,8.37672,-3.2292,10.5984,3.51072,0,0,0,0,0,0
3.12032,0.72028,-0.705801,-0.467525,-0.153431,-1.74315,-0.208259,-3.31748,18.8371,8.37672,-3.2292,10.5984,3.51072,0,0,0,0,0,0
3.12531,0.704708,-0.821024,-0.496496,-0.165607,-1.81017,-0.233267,-3.58934,18.7702,8.16772,-2.3184,12.3952,3.82536,0,0,0,0,0,0
3.13032,0.680399,-0.934077,-0.534383,-0.190542,-1.88148,-0.263366,-3.58934,18.7702,8.16772,-2.3184,12.3952,3.82536,0,0,0,0,0,0
3.13531,0.648711,-1.04271,-0.575746,-0.22319,-1.95445,-0.296613,-3.66814,19.0223,7.86467,-3.59352,13.1238,3.07188,0,0,0,0,0,0
3.14031,0.614532,-1.14893,-0.607089,-0.238216,-2.02965,-0.318151,-3.66814,19.0223,7.86467,-3.59352,13.1238,3.07188,0,0,0,0,0,0
3.14531,0.579019,-1.25141,-0.63007,-0.237114,-2.1059,-0.328586,-3.92424,19.1917,7.60342,-3.53556,12.4117,3.0636,0,0,0,0,0,0
3.15029,0.550962,-1.34931,-0.633045,-0.227491,-2.18189,-0.330529,-3.92424,19.1917,7.60342,-3.53556,12.4117,3.0636,0,0,0,0,0,0
3.15532,0.528242,-1.44224,-0.618076,-0.21292,-2.2586,-0.32569,-4.81862,18.3446,8.11338,-1.50696,12.6353,5.05908,0,0,0,0,0,0
3.1603,0.540463,-1.50701,-0.60421,-0.230526,-2.33456,-0.350186,-4.81862,18.3446,8.11338,-1.50696,12.6353,5.05908,0,0,0,0,0,0
3.16532,0.580913,-1.54339,-0.590507,-0.270293,-2.41106,-0.393948,-3.93212,17.2848,9.39246,-3.41964,12.9913,4.31388,0,0,0,0,0,0
3.17032,0.614996,-1.52152,-0.627142,-0.297128,-2.4874,-0.440387,-4.55464,16.9775,8.83025,-2.22732,12.6518,3.96612,0,0,0,0,0,0
3.17531,0.661135,-1.45274,-0.684223,-0.331921,-2.56342,-0.483482,-3.47508,17.1075,8.88041,-3.51072,12.3041,4.19796,0,0,0,0,0,0
3.18033,0.683344,-1.36059,-0.750346,-0.351471,-2.63923,-0.525464,-3.93606,17.1981,8.01724,-2.49228,12.4945,3.37824,0,0,0,0,0,0
3.18532,0.701021,-1.26089,-0.792497,-0.377188,-2.71404,-0.552878,-4.13306,17.005,8.21161,-3.09672,11.9646,3.22092,0,0,0,0,0,0
3.19032,0.721121,-1.15505,-0.822541,-0.394032,-2.78739,-0.566301,-4.13306,17.005,8.21161,-3.09672,11.9646,3.22092,0,0,0,0,0,0
3.19532,0.742035,-1.04692,-0.843166,-0.401505,-2.85858,-0.56879,-3.60904,16.8317,8.27222,-2.90628,11.6665,5.11704,0,0,0,0,0,0
3.2003,0.746734,-0.93763,-0.858378,-0.402266,-2.92555,-0.59558,-3.60904,16.8317,8.27222,-2.90628,11.6665,5.11704,0,0,0,0,0,0
3.2053,0.737421,-0.828365,-0.869742,-0.39583,-2.98777,-0.638072,-4.55858,17.403,6.66501,-3.2706,10.4328,4.7196,0,0,0,0,0,0
3.21031,0.745597,-0.728661,-0.822977,-0.377258,-3.03138,-0.684603,-4.55858,17.403,6.66501,-3.2706,10.4328,4.7196,0,0,0,0,0,0
3.2153,0.768145,-0.642519,-0.741465,-0.350417,-3.05203,-0.732962,-4.67678,17.4857,7.59715,-3.66804,10.9296,3.4362,0,0,0,0,0,0
3.22032,0.805341,-0.572892,-0.668857,-0.313615,-3.06212,-0.766004,-4.67678,17.4857,7.59715,-3.66804,10.9296,3.4362,0,0,0,0,0,0
