time,est_tau1,est_tau2,est_tau3,est_tau4,est_tau5,est_tau6,meas_tau1,meas_tau2,meas_tau3,meas_tau4,meas_tau5,meas_tau6,gt_tau1,gt_tau2,gt_tau3,gt_tau4,gt_tau5,gt_tau6
3.00029,0,0,0,0,0,0,-2.96288,17.9625,8.24714,-2.20248,11.6914,3.41964,0,0,0,0,0,0
3.00538,-5.8919e-06,-6.05068e-05,-3.59535e-05,-1.82757e-05,-6.82015e-05,-8.51262e-06,-2.96288,17.9625,8.24714,-2.20248,11.6914,3.41964,0,0,0,0,0,0
3.0103,5.55193e-05,-0.00050811,-0.000315036,-7.57569e-05,-0.000450059,-3.35799e-05,-3.69178,18.0688,8.37881,-3.17124,10.1016,2.90628,0,0,0,0,0,0
3.01529,4.13991e-06,-0.00185466,-0.00113471,-4.63801e-05,-0.00172775,-0.000205216,-2.56494,17.7103,8.00052,-3.89988,10.9296,3.6846,0,0,0,0,0,0
3.02032,-0.000423168,-0.00469228,-0.00286738,0.000221371,-0.00471781,-0.000707812,-2.56494,17.7103,8.00052,-3.89988,10.9296,3.6846,0,0,0,0,0,0
3.0253,-0.000209232,-0.00913478,-0.00564462,0.000529483,-0.0104763,-0.00128713,-4.0976,17.2769,7.74345,-3.08016,11.2939,2.62476,0,0,0,0,0,0
3.03032,0.0012604,-0.0154625,-0.00977294,0.000895472,-0.020369,-0.00180077,-4.0976,17.2769,7.74345,-3.08016,11.2939,2.62476,0,0,0,0,0,0
3.03529,0.002612,-0.0231213,-0.014678,0.00211071,-0.0360757,-0.00174977,-2.89196,16.9735,7.30455,-3.99924,12.0226,2.277,0,0,0,0,0,0
3.04032,0.00454465,-0.0316402,-0.0220986,0.0034092,-0.0588256,-0.00118235,-3.37264,16.7214,8.0465,-2.99736,11.2277,2.6082,0,0,0,0,0,0
3.04531,0.0079394,-0.0400475,-0.0338871,0.00396399,-0.0877486,-0.00151217,-3.70754,16.5007,8.55019,-2.59992,10.0105,3.7674,0,0,0,0,0,0
3.05022,0.0130385,-0.0476095,-0.0506268,0.00382015,-0.122725,-0.00309023,-3.70754,16.5007,8.55019,-2.59992,10.0105,3.7674,0,0,0,0,0,0
3.05528,0.0223414,-0.0540941,-0.0735894,0.00312238,-0.165375,-0.00646351,-4.21974,16.5244,8.40807,-2.68272,9.70416,3.77568,0,0,0,0,0,0
3.06032,0.033331,-0.0586827,-0.0993826,0.00129279,-0.21793,-0.0103341,-3.5263,16.5559,7.70792,-2.6082,11.4264,3.08016,0,0,0,0,0,0
3.0653,0.0460384,-0.0606504,-0.127019,-0.00176293,-0.279925,-0.0144884,-3.5263,16.5559,7.70792,-2.6082,11.4264,3.08016,0,0,0,0,0,0
3.07032,0.064508,-0.0611291,-0.157431,-0.00367783,-0.35063,-0.0201514,-4.26702,16.8593,7.90856,-3.53556,10.6812,3.55212,0,0,0,0,0,0
3.07533,0.0907114,-0.0623318,-0.188394,-0.00344083,-0.431284,-0.0249792,-4.6886,17.2139,7.62014,-3.84192,11.5175,2.74896,0,0,0,0,0,0
3.08033,0.11905,-0.0696559,-0.219641,-0.00401132,-0.516233,-0.0303666,-3.81786,18.057,7.6703,-3.0222,10.0022,3.28716,0,0,0,0,0,0
3.0853,0.148283,-0.08391,-0.250756,-0.00556859,-0.603901,-0.0360415,-3.81786,18.057,7.6703,-3.0222,10.0022,3.28716,0,0,0,0,0,0
3.09031,0.181697,-0.110793,-0.278973,-0.00995586,-0.695755,-0.0383087,-4.3931,18.7977,7.21886,-2.55024,10.35,2.3184,0,0,0,0,0,0
3.0953,0.219257,-0.148301,-0.301894,-0.0130365,-0.794291,-0.0424978,-4.4719,18.652,7.02031,-3.42792,11.592,3.70116,0,0,0,0,0,0
3.10031,0.255748,-0.195686,-0.321231,-0.0177299,-0.894655,-0.0475325,-3.75088,18.585,7.2523,-2.80692,10.499,3.45276,0,0,0,0,0,0
