time,est_tau1,est_tau2,est_tau3,est_tau4,est_tau5,est_tau6
1.00025,0,0,0,0,0,0
1.00541,0,0,0,0,0,0
1.01029,0.000281911,0.00046238,5.05695e-05,-4.51359e-05,-0.000192743,-0.000163539
1.01529,0.00156555,0.00257241,0.000280684,4.38032e-05,-0.00106827,-0.000911608
1.02027,0.00497439,0.00818064,0.000890044,0.000499294,-0.00339075,-0.00290181
1.02549,0.0122345,0.0201314,0.00218552,0.00175989,-0.00832367,-0.00713677
1.0303,0.0248142,0.0408872,0.00447229,0.00400866,-0.0167751,-0.0143915
1.03536,0.0450969,0.0744123,0.00821133,0.00769625,-0.0302195,-0.0259309
1.04029,0.0749152,0.123773,0.013712,0.013553,-0.0499029,-0.0428988
1.04527,0.116227,0.192312,0.0211637,0.0172391,-0.076679,-0.0658744
1.0503,0.17051,0.282483,0.030986,0.0293993,-0.111623,-0.0952439
1.05531,0.238194,0.39483,0.0432705,0.0430606,-0.154074,-0.130628
1.06035,0.318797,0.528677,0.0578947,0.0592383,-0.202938,-0.171466
1.06536,0.410431,0.680903,0.0745154,0.0773534,-0.256284,-0.216158
1.0705,0.51078,0.847654,0.0926573,0.0892691,-0.312122,-0.262749
1.07531,0.615075,1.02088,0.111816,0.102548,-0.367037,-0.30856
1.08028,0.720473,1.19583,0.131469,0.114847,-0.419489,-0.352294
1.08535,0.823832,1.36739,0.150834,0.126593,-0.467448,-0.39226
1.09047,0.922192,1.53075,0.169239,0.139335,-0.510702,-0.428623
1.09543,1.01203,1.68143,0.186183,0.151463,-0.548204,-0.467818
1.10038,1.09254,1.8172,0.201154,0.16197,-0.579669,-0.500152
1.10537,1.16321,1.93709,0.214045,0.170902,-0.605432,-0.527189
1.11031,1.22415,2.04097,0.225412,0.179158,-0.626631,-0.549464
1.11539,1.27527,2.12956,0.235133,0.186134,-0.643387,-0.567324
1.12037,1.31726,2.20349,0.24301,0.192419,-0.656536,-0.580968
1.12553,1.35094,2.26403,0.249207,0.198079,-0.666486,-0.590878
1.13017,1.37717,2.31204,0.253926,0.203416,-0.672405,-0.598416
1.13525,1.39673,2.3493,0.258138,0.216286,-0.675024,-0.602166
1.14025,1.41031,2.37682,0.261834,0.233407,-0.674848,-0.60268
1.14548,1.41854,2.39537,0.264431,0.24679,-0.672431,-0.609378
1.1504,1.4222,2.40603,0.266496,0.257476,-0.667718,-0.612908
1.15517,1.42201,2.40995,0.268051,0.265758,-0.66125,-0.614856
1.16025,1.41832,2.4079,0.268962,0.271729,-0.653547,-0.613436
1.16528,1.41173,2.40074,0.269462,0.276765,-0.644732,-0.617136
1.17019,1.40279,2.3894,0.269643,0.280933,-0.635122,-0.623958
1.17517,1.39186,2.3745,0.269455,0.283917,-0.625587,-0.625705
1.18017,1.37928,2.35658,0.268911,0.285848,-0.616247,-0.624199
1.18519,1.36529,2.33621,0.268102,0.28644,-0.606969,-0.621453
1.19023,1.35047,2.31399,0.267412,0.286184,-0.597647,-0.616327
1.19518,1.33517,2.29054,0.266833,0.285223,-0.58845,-0.609291
1.20026,1.31944,2.26594,0.266268,0.283755,-0.580047,-0.601362
1.20553,1.30341,2.24068,0.265467,0.281508,-0.572049,-0.59189
1.21057,1.28749,2.21548,0.26449,0.278689,-0.564606,-0.581422
1.21558,1.27207,2.19059,0.263648,0.274909,-0.557396,-0.563156
1.22046,1.25721,2.16632,0.262714,0.279459,-0.551563,-0.547989
1.22538,1.24293,2.14275,0.261722,0.289092,-0.546942,-0.534442
1.23042,1.22926,2.11995,0.260917,0.29359,-0.543102,-0.522583
1.23535,1.21637,2.09798,0.260022,0.295238,-0.540017,-0.496554
1.24036,1.20417,2.07675,0.258977,0.294412,-0.537656,-0.460824
1.24567,1.19255,2.0561,0.258034,0.292442,-0.535663,-0.431948
1.25029,1.18191,2.03683,0.257256,0.28897,-0.53438,-0.407597
1.25548,1.17194,2.0184,0.256619,0.28399,-0.533736,-0.38691
1.26023,1.1626,2.00133,0.256318,0.27881,-0.533613,-0.36905
1.26529,1.15384,1.98498,0.256192,0.273725,-0.533325,-0.354645
1.27036,1.14594,1.96965,0.256174,0.268683,-0.533747,-0.343386
1.27529,1.13846,1.95521,0.25616,0.254005,-0.534251,-0.33476
1.28028,1.13144,1.94167,0.256174,0.233168,-0.534803,-0.32846
1.28529,1.12517,1.92931,0.256519,0.216411,-0.535684,-0.324319
1.29055,1.11961,1.91795,0.257093,0.201348,-0.536769,-0.322446
1.29521,1.11464,1.908,0.257684,0.196997,-0.537939,-0.321677
1.30019,1.11,1.89892,0.258286,0.190784,-0.538718,-0.323035
1.30536,1.10569,1.89066,0.258924,0.184969,-0.539127,-0.326272
1.31032,1.10169,1.88299,0.259599,0.179733,-0.540261,-0.329612
1.31528,1.09814,1.87614,0.260557,0.174843,-0.541373,-0.333414
1.32055,1.09497,1.87001,0.261782,0.170244,-0.542469,-0.337651
1.32526,1.09206,1.86466,0.263113,0.151106,-0.543935,-0.34341
1.3307,1.08915,1.85985,0.26458,0.138299,-0.544699,-0.350144
1.33528,1.08634,1.85561,0.266028,0.127478,-0.544948,-0.357187
1.34034,1.08381,1.85182,0.267708,0.127404,-0.546079,-0.364023
1.34532,1.08153,1.84843,0.269534,0.134392,-0.547945,-0.370566
1.35026,1.0794,1.84507,0.271177,0.121234,-0.549637,-0.377604
1.35517,1.07748,1.84193,0.272718,0.0971149,-0.551103,-0.384953
1.36055,1.07583,1.83869,0.274061,0.0715296,-0.553089,-0.40666
1.36553,1.0744,1.83578,0.275239,0.0437182,-0.554602,-0.423746
1.37023,1.07318,1.83311,0.276185,0.0149063,-0.555748,-0.438864
1.37553,1.07224,1.83072,0.277254,-0.00573205,-0.556664,-0.451821
1.38027,1.07153,1.82862,0.278189,-0.0215905,-0.557678,-0.462077
1.38536,1.07103,1.82674,0.279012,-0.033291,-0.558792,-0.469999
1.39027,1.07079,1.82497,0.279725,-0.0405988,-0.561189,-0.475927
1.39522,1.07071,1.82334,0.280738,-0.0605414,-0.56387,-0.479901
1.40026,1.0708,1.82194,0.282057,-0.0872739,-0.566737,-0.48215
1.40522,1.07097,1.8207,0.283386,-0.112146,-0.569383,-0.483017
1.41037,1.07134,1.8195,0.284542,-0.127936,-0.571719,-0.482984
1.41524,1.07184,1.81839,0.285716,-0.137424,-0.573454,-0.481929
1.42023,1.07243,1.81782,0.286013,-0.14225,-0.574763,-0.480098
1.42515,1.07311,1.8175,0.286004,-0.14249,-0.576569,-0.463475
1.43022,1.07389,1.81728,0.285642,-0.138724,-0.578853,-0.43633
1.43519,1.07472,1.81699,0.284948,-0.149064,-0.581063,-0.414862
