time,est_tau1,est_tau2,est_tau3,est_tau4,est_tau5,est_tau6
3.33031,0.910739,-0.291799,-0.522244,-0.102465,-2.87096,-0.565757
3.33531,0.912635,-0.308232,-0.519681,-0.113102,-2.82907,-0.561007
3.34032,0.911323,-0.323544,-0.51531,-0.123145,-2.78944,-0.551228
3.34532,0.911396,-0.329222,-0.516048,-0.130261,-2.7553,-0.549439
3.3503,0.90701,-0.322244,-0.519931,-0.139371,-2.72387,-0.550554
3.3553,0.899474,-0.30385,-0.526214,-0.150549,-2.69464,-0.554617
3.36022,0.905788,-0.275148,-0.531372,-0.1589,-2.66883,-0.560733
3.36518,0.91282,-0.235699,-0.538223,-0.167556,-2.64978,-0.562613
3.37032,0.920165,-0.185793,-0.547072,-0.177141,-2.6366,-0.560039
3.3753,0.920409,-0.137062,-0.555478,-0.188453,-2.62502,-0.557152
3.38032,0.914702,-0.0888052,-0.564456,-0.201217,-2.61464,-0.554144
3.38532,0.913168,-0.0440846,-0.569203,-0.215521,-2.6071,-0.556253
3.39031,0.909811,-0.00221757,-0.579972,-0.232919,-2.60841,-0.561571
3.39532,0.905303,0.0386321,-0.595016,-0.253018,-2.61698,-0.569122
3.4003,0.903625,0.0777258,-0.607234,-0.268562,-2.62374,-0.577217
3.40531,0.898552,0.111714,-0.617285,-0.281217,-2.63433,-0.57854
3.41033,0.891783,0.140351,-0.625801,-0.29024,-2.64868,-0.575119
3.41532,0.892698,0.167544,-0.636509,-0.29736,-2.66919,-0.572284
3.4203,0.893219,0.194967,-0.642189,-0.301852,-2.68933,-0.573752
3.42532,0.89886,0.220843,-0.64501,-0.308501,-2.70788,-0.571521
3.43031,0.89807,0.24408,-0.651395,-0.312243,-2.72783,-0.564447
3.43533,0.894507,0.265699,-0.654159,-0.30813,-2.7519,-0.553987
3.4403,0.895081,0.287371,-0.65584,-0.306336,-2.77336,-0.543842
3.44532,0.895878,0.309847,-0.652292,-0.309089,-2.78207,-0.535552
3.4503,0.904443,0.329292,-0.646951,-0.304916,-2.78992,-0.531981
3.4553,0.932904,0.347361,-0.64923,-0.28615,-2.79099,-0.533869
3.46033,0.963337,0.36604,-0.651669,-0.263224,-2.7965,-0.531069
3.46531,0.994257,0.376949,-0.655619,-0.23992,-2.81063,-0.52712
3.47033,1.01994,0.380835,-0.661199,-0.21775,-2.82581,-0.522898
3.47531,1.03996,0.379239,-0.670371,-0.202391,-2.83498,-0.521524
3.4803,1.05928,0.372655,-0.67638,-0.188618,-2.8453,-0.518961
3.4853,1.0718,0.361885,-0.689163,-0.177248,-2.85541,-0.516622
3.49032,1.08366,0.347943,-0.699822,-0.16004,-2.8658,-0.513778
3.4953,1.08618,0.336881,-0.708049,-0.143642,-2.8767,-0.51205
3.50035,1.08532,0.33529,-0.716629,-0.130337,-2.8936,-0.515852
3.5053,1.08384,0.344241,-0.724318,-0.115469,-2.91092,-0.523974
3.51034,1.08195,0.36424,-0.728657,-0.107836,-2.92729,-0.533801
3.51523,1.07993,0.388841,-0.727509,-0.100776,-2.94539,-0.541377
3.52024,1.08286,0.415248,-0.724741,-0.0989768,-2.95801,-0.544483
3.52528,1.08939,0.437037,-0.717432,-0.0944715,-2.96416,-0.554856
3.53031,1.0986,0.45357,-0.706963,-0.087697,-2.96489,-0.571099
3.53531,1.10257,0.462086,-0.697991,-0.082837,-2.96301,-0.58745
3.54033,1.10203,0.464752,-0.689557,-0.0792635,-2.95867,-0.604146
3.5453,1.11033,0.463994,-0.677476,-0.0701173,-2.95774,-0.618713
3.55021,1.1128,0.460945,-0.665885,-0.0622655,-2.95204,-0.631277
3.55534,1.11736,0.455184,-0.656833,-0.0479507,-2.94445,-0.642709
3.56031,1.12978,0.451424,-0.65136,-0.0357241,-2.93526,-0.660318
3.56533,1.14281,0.455418,-0.64807,-0.0267291,-2.92511,-0.678816
