time,est_tau1,est_tau2,est_tau3,est_tau4,est_tau5,est_tau6
1.49534,0.403809,0.675539,0.123975,-0.0816938,-0.270025,-0.156787
1.50036,0.404473,0.675473,0.122417,-0.0739592,-0.271896,-0.153973
1.50535,0.404929,0.675499,0.121401,-0.0695575,-0.27387,-0.152032
1.51042,0.405187,0.675613,0.120901,-0.0683386,-0.275941,-0.150925
1.51531,0.405789,0.676076,0.121036,-0.0649362,-0.277546,-0.149681
1.52029,0.406718,0.676874,0.121777,-0.0594488,-0.278705,-0.148306
1.52527,0.407428,0.677103,0.121636,-0.0555143,-0.281864,-0.147926
1.5303,0.40825,0.677988,0.121335,-0.0153853,-0.284378,-0.147165
1.5354,0.409069,0.679231,0.121309,0.033303,-0.284484,-0.145158
1.54025,0.409618,0.680019,0.120274,0.0430526,-0.285461,-0.143266
1.5454,0.410198,0.681171,0.118695,0.0429282,-0.28701,-0.141435
1.55027,0.411123,0.682072,0.117694,0.0228953,-0.287435,-0.138579
1.55528,0.412294,0.683998,0.117628,0.0543517,-0.2887,-0.136361
1.56034,0.412752,0.685504,0.11711,0.100271,-0.292342,-0.13596
1.56548,0.413136,0.686541,0.117112,0.107563,-0.295203,-0.135602
1.57047,0.413747,0.687653,0.117298,0.10529,-0.295666,-0.119475
1.57567,0.414318,0.687929,0.116417,0.103108,-0.29489,-0.0962947
1.58049,0.415028,0.688205,0.114943,0.0995192,-0.295916,-0.0910381
1.58542,0.415896,0.688988,0.113228,0.0946121,-0.298486,-0.0949176
1.59027,0.41656,0.691056,0.112788,0.088633,-0.301038,-0.0823027
1.59537,0.416991,0.693588,0.113079,0.0830847,-0.302906,-0.0767439
1.60029,0.417255,0.695082,0.113555,0.0595636,-0.304108,-0.0779224
1.60555,0.417562,0.696644,0.114643,0.0496382,-0.305684,-0.0795821
1.61044,0.417783,0.698645,0.115861,0.0451134,-0.307441,-0.0821123
1.61565,0.417817,0.700822,0.11674,0.0434038,-0.309305,-0.0841554
1.62024,0.418453,0.713217,0.132728,0.0242001,-0.307563,-0.0861427
1.62533,0.418634,0.714826,0.147579,-0.000874916,-0.308863,-0.0887503
1.63031,0.418365,0.706247,0.146011,0.0143439,-0.313001,-0.0904456
1.6353,0.418728,0.707815,0.144402,0.0409401,-0.313309,-0.0909941
1.64052,0.419383,0.709798,0.142475,0.0464489,-0.313492,-0.0613349
1.64532,0.42041,0.711561,0.139802,0.0454253,-0.313778,-0.0187639
1.65028,0.420773,0.712703,0.137923,0.0254538,-0.313645,0.00669464
1.65528,0.420998,0.714903,0.137562,0.0200374,-0.314134,0.00900231
1.66045,0.42142,0.717856,0.137558,0.020204,-0.315884,0.0043463
1.66529,0.421911,0.72041,0.137036,0.0186843,-0.316621,-0.00196526
1.67017,0.422469,0.722583,0.13602,0.0155542,-0.316393,-0.00985778
1.67515,0.423002,0.724659,0.13505,0.0125652,-0.316176,-0.0173947
1.68015,0.423511,0.726906,0.134547,0.0117627,-0.316527,-0.0242189
1.68713,0.423997,0.728698,0.133972,0.0130483,-0.316677,-0.0284973
1.69124,0.424461,0.729787,0.132906,0.0142758,-0.316073,-0.0307177
1.69727,0.424921,0.730982,0.13103,-0.00372001,-0.315375,-0.0328506
1.70526,0.42552,0.732679,0.12859,-0.0264179,-0.314457,-0.0348748
1.71022,0.427161,0.746392,0.143191,0.00736492,-0.309797,-0.038659
1.71783,0.427285,0.738164,0.142438,0.0166862,-0.314714,-0.0437807
1.7202,0.428298,0.739372,0.142381,0.0145662,-0.316525,-0.062378
1.72759,0.42905,0.74092,0.142979,0.0122189,-0.31697,-0.0415888
1.73015,0.429439,0.741483,0.142405,0.0104742,-0.317462,-0.0284242
1.73779,0.429852,0.742329,0.142172,-0.0103348,-0.31894,-0.0299142
1.74019,0.430556,0.742839,0.143127,-0.0160041,-0.321988,-0.0502429
1.74868,0.43118,0.74248,0.144071,-0.016253,-0.323109,-0.062621
1.75025,0.431498,0.741794,0.145233,-0.0166898,-0.323708,-0.0638635
1.75966,0.431624,0.742116,0.146955,-0.0167338,-0.324653,-0.0626251
1.76024,0.431466,0.74208,0.149002,-0.016602,-0.32583,-0.0785081
1.76528,0.431001,0.742354,0.150754,-0.0358055,-0.326843,-0.088506
1.77036,0.43156,0.743494,0.151495,-0.0230119,-0.32789,-0.0911686
1.77532,0.432749,0.744627,0.151899,-0.00107495,-0.329393,-0.0931769
1.78037,0.434188,0.793274,0.16245,0.000893118,-0.326248,-0.1108
1.78529,0.433373,0.80514,0.152514,-0.00330164,-0.333402,-0.119211
1.7905,0.433249,0.805791,0.152706,-0.00598826,-0.336433,-0.101957
1.79526,0.432764,0.805714,0.151926,-0.00726061,-0.341655,-0.0773281
1.80029,0.432288,0.805299,0.151959,-0.00904782,-0.344491,-0.0705012
1.80529,0.432467,0.804978,0.152625,-0.0116746,-0.346365,-0.0730674
1.81017,0.433614,0.804583,0.153543,-0.0151158,-0.348714,-0.0745854
1.81535,0.433983,0.804406,0.15396,0.00375069,-0.350146,-0.0745302
1.82021,0.433109,0.804037,0.152935,0.0308241,-0.351765,-0.0743036
1.8253,0.432398,0.803285,0.152264,0.0155436,-0.351949,-0.0761641
1.83024,0.432128,0.802967,0.152351,-0.0128721,-0.350502,-0.0799675
1.83529,0.432031,0.803395,0.152869,-0.0206529,-0.350175,-0.0835869
1.84033,0.431956,0.804137,0.153588,-0.0223837,-0.351046,-0.0870558
1.84528,0.432074,0.804655,0.15406,-0.0230913,-0.351418,-0.071997
1.85023,0.4328,0.803377,0.153234,-0.0440793,-0.351827,-0.0648632
1.85528,0.43411,0.801989,0.152241,-0.071674,-0.352251,-0.0676834
1.86022,0.435361,0.800664,0.151293,-0.0980253,-0.352656,-0.0703766
1.86559,0.436095,0.800486,0.150587,-0.101596,-0.352791,-0.0714436
1.87026,0.436192,0.801004,0.149902,-0.0970686,-0.352799,-0.0709829
1.87519,0.436289,0.801222,0.148792,-0.111739,-0.35296,-0.086502
1.88027,0.436638,0.801627,0.14935,-0.112255,-0.351687,-0.0949954
1.88514,0.436888,0.800673,0.150887,-0.10762,-0.349506,-0.096831
1.89024,0.437215,0.800206,0.151224,-0.104127,-0.349102,-0.0978379
1.89517,0.437439,0.800115,0.15084,-0.100977,-0.34909,-0.0986129
1.90016,0.437474,0.799939,0.150897,-0.0972235,-0.347772,-0.0999124
1.90523,0.437597,0.799505,0.151329,-0.0934525,-0.346513,-0.101153
1.91014,0.437803,0.798913,0.151693,-0.0902245,-0.345125,-0.102898
1.91517,0.438,0.798436,0.151617,-0.0877014,-0.343613,-0.105124
1.92041,0.438366,0.797981,0.151781,-0.0852921,-0.343475,-0.107436
1.92519,0.438892,0.797546,0.152172,-0.0829915,-0.344648,-0.109831
1.93044,0.439493,0.796046,0.152434,-0.117751,-0.34477,-0.141965
1.93529,0.440848,0.796251,0.154273,-0.125076,-0.344086,-0.157946
1.94039,0.441795,0.795451,0.15587,-0.121169,-0.343926,-0.157132
1.94532,0.442624,0.795118,0.15737,-0.115747,-0.342753,-0.137424
1.95026,0.443669,0.794812,0.158169,-0.111701,-0.341721,-0.111197
1.95539,0.445009,0.794444,0.159051,-0.108223,-0.341569,-0.102097
1.96044,0.447138,0.795124,0.160229,-0.0502666,-0.342073,-0.102829
1.96544,0.449223,0.795173,0.160617,0.0191079,-0.342937,-0.105058
1.97041,0.450714,0.794821,0.160259,0.0487834,-0.342026,-0.10572
1.97532,0.451589,0.794684,0.160305,0.0477581,-0.341838,-0.105965
1.98037,0.45223,0.794752,0.161254,0.0403335,-0.344205,-0.107307
1.98546,0.452931,0.795173,0.161878,0.033803,-0.344972,-0.106349
