time,est_tau1,est_tau2,est_tau3,est_tau4,est_tau5,est_tau6
1.00025,0,0,0,0,0,0
1.00541,0,0,0,0,0,0
1.01029,0,0,0,0,0,0
1.01529,0,0,0,0,0,0
1.02027,0,0,0,0,0,0
1.02549,0,0,0,0,0,0
1.0303,0,0,0,0,0,0
1.03536,0,0,0,0,0,0
1.04029,0,0,0,0,0,0
1.04527,0,0,0,0,0,0
1.0503,0,0,0,0,0,0
1.05531,0,0,0,0,0,0
1.06035,0,0,0,0,0,0
1.06536,0,0,0,0,0,0
1.0705,0,0,0,0,0,0
1.07531,0,0,0,0,0,0
1.08028,0,0,0,0,0,0
1.08535,0,0,0,0,0,0
1.09047,0,0,0,0,0,0
1.09543,0,0,0,0,0,0
1.10038,0,0,0,0,0,0
1.10537,0,0,0,0,0,0
1.11031,0,0,0,0,0,0
1.11539,0,0,0,0,0,0
1.12037,0,0,0,0,0,0
1.12553,0,0,0,0,0,0
1.13017,0,0,0,0,0,0
1.13525,0,0,0,0,0,0
1.14025,0,0,0,0,0,0
1.14548,0,0,0,0,0,0
1.1504,0,0,0,0,0,0
1.15517,0,0,0,0,0,0
1.16025,0,0,0,0,0,0
1.16528,0,0,0,0,0,0
1.17019,0,0,0,0,0,0
1.17517,0,0,0,0,0,0
1.18017,0,0,0,0,0,0
1.18519,0,0,0,0,0,0
1.19023,0,0,0,0,0,0
1.19518,0,0,0,0,0,0
1.20026,0,0,0,0,0,0
1.20553,0,0,0,0,0,0
1.21057,0,0,0,0,0,0
1.21558,0,0,0,0,0,0
1.22046,0,0,0,0,0,0
1.22538,0,0,0,0,0,0
1.23042,0,0,0,0,0,0
1.23535,0,0,0,0,0,0
1.24036,0,0,0,0,0,0
1.24567,0,0,0,0,0,0
1.25029,0.50961,0.868454,0.101857,0.173302,-0.383299,-0.343159
1.25548,0.54235,0.92433,0.108729,0.178163,-0.392839,-0.346488
1.26023,0.571979,0.974925,0.115005,0.182181,-0.400893,-0.348919
1.26529,0.603261,1.02832,0.121679,0.186103,-0.408706,-0.351082
1.27036,0.634124,1.08096,0.128304,0.189641,-0.415909,-0.352831
1.27529,0.663584,1.13121,0.134663,0.190918,-0.422253,-0.354122
1.28028,0.692816,1.18108,0.141014,0.19052,-0.428042,-0.35504
1.28529,0.721503,1.23001,0.147311,0.190238,-0.433296,-0.355611
1.29055,0.750915,1.28013,0.153829,0.189682,-0.438228,-0.355918
1.29521,0.776221,1.32328,0.159477,0.19053,-0.442116,-0.355854
1.30019,0.802477,1.36808,0.165385,0.190743,-0.445704,-0.355643
1.30536,0.828907,1.41319,0.171386,0.190658,-0.448849,-0.355279
1.31032,0.85333,1.45487,0.176984,0.190332,-0.45153,-0.354563
1.31528,0.876893,1.49509,0.18246,0.189741,-0.453792,-0.35358
1.32055,0.901002,1.53624,0.18815,0.188833,-0.455756,-0.352253
1.32526,0.921618,1.57146,0.193083,0.185211,-0.457235,-0.351114
1.3307,0.94443,1.61049,0.198634,0.18171,-0.458408,-0.349698
1.33528,0.962761,1.6419,0.203158,0.178707,-0.459026,-0.348459
1.34034,0.982116,1.67507,0.20803,0.177003,-0.459552,-0.346904
1.34532,1.00023,1.70613,0.212678,0.176448,-0.459927,-0.345218
1.35026,1.01731,1.73541,0.217124,0.172164,-0.460027,-0.343556
1.35517,1.03344,1.76305,0.221389,0.165522,-0.459865,-0.341914
1.36055,1.05018,1.79169,0.22588,0.157356,-0.459534,-0.342886
1.36553,1.06477,1.81665,0.229856,0.148816,-0.458959,-0.343201
1.37023,1.07776,1.83886,0.233443,0.139955,-0.458204,-0.343389
1.37553,1.09158,1.86245,0.237352,0.130842,-0.457109,-0.343344
1.38027,1.10317,1.88222,0.240688,0.123076,-0.456018,-0.343025
1.38536,1.11487,1.90216,0.244125,0.115052,-0.454715,-0.342378
1.39027,1.12544,1.92012,0.24729,0.107791,-0.453578,-0.341512
1.39522,1.13539,1.93698,0.250375,0.0978831,-0.452402,-0.340375
1.40026,1.1448,1.95292,0.253414,0.0860573,-0.451169,-0.33896
1.40522,1.15341,1.96746,0.256285,0.0741848,-0.449867,-0.337358
1.41037,1.16167,1.98135,0.259122,0.0630533,-0.448405,-0.335546
1.41524,1.16887,1.99341,0.26169,0.0533359,-0.446888,-0.333665
1.42023,1.17566,2.00478,0.264122,0.0439847,-0.445216,-0.331586
1.42515,1.18177,2.01499,0.266369,0.035496,-0.443634,-0.326789
1.43022,1.18751,2.02452,0.268529,0.0274504,-0.442075,-0.319558
1.43519,1.19259,2.03289,0.270491,0.0170034,-0.440542,-0.313067
1.44025,1.19725,2.04056,0.272388,0.00783251,-0.438966,-0.306789
1.44517,1.20128,2.04718,0.274126,-0.000418088,-0.437441,-0.30103
1.45028,1.20497,2.05322,0.275789,-0.00816823,-0.43596,-0.295247
1.45532,1.20813,2.05835,0.277261,-0.0168036,-0.434678,-0.292614
1.46031,1.21083,2.06268,0.278571,-0.0258784,-0.433562,-0.292385
1.46532,1.21311,2.06631,0.279753,-0.0339689,-0.432414,-0.291835
1.47016,1.21495,2.06918,0.280772,-0.0411123,-0.43137,-0.291245
1.47529,1.2165,2.07151,0.281701,-0.0478424,-0.430188,-0.290477
1.48021,1.21764,2.07311,0.282457,-0.0535404,-0.428996,-0.289622
1.48536,1.21846,2.07413,0.283142,-0.0551833,-0.427802,-0.288642
1.4906,1.21892,2.0745,0.283693,-0.0570025,-0.426663,-0.287465
1.49534,1.21905,2.07432,0.284078,-0.0581071,-0.425695,-0.286273
1.50036,1.21887,2.07357,0.284368,-0.0587251,-0.424722,-0.28486
1.50535,1.21839,2.0723,0.284566,-0.0591382,-0.423833,-0.283414
1.51042,1.2176,2.07051,0.284678,-0.0593655,-0.423004,-0.281898
1.51531,1.21659,2.06834,0.284733,-0.0591876,-0.422237,-0.28039
1.52029,1.21533,2.06571,0.284738,-0.0586231,-0.421486,-0.278807
1.52527,1.21382,2.06264,0.284654,-0.0578381,-0.420982,-0.277281
1.5303,1.21207,2.05917,0.28451,-0.0535012,-0.420441,-0.27566
1.5354,1.21008,2.05528,0.284301,-0.0464633,-0.419869,-0.273938
1.54025,1.208,2.05125,0.284008,-0.0406476,-0.419391,-0.272249
1.5454,1.20558,2.04664,0.283601,-0.0345566,-0.418945,-0.270396
1.55027,1.20314,2.04201,0.28316,-0.0306006,-0.418466,-0.268494
1.55528,1.20046,2.03697,0.282651,-0.022871,-0.418141,-0.266558
1.56034,1.19759,2.03162,0.282078,-0.0127686,-0.417987,-0.264637
1.56548,1.19451,2.02594,0.281468,-0.00369094,-0.417921,-0.262725
