time,est_tau1,est_tau2,est_tau3,est_tau4,est_tau5,est_tau6
1.00025,0,0,0,0,0,0
1.00541,0,0,0,0,0,0
1.01029,0,0,0,0,0,0
1.01529,0,0,0,0,0,0
1.02027,0,0,0,0,0,0
1.02549,0,0,0,0,0,0
1.0303,0,0,0,0,0,0
1.03536,0,0,0,0,0,0
1.04029,0,0,0,0,0,0
1.04527,0,0,0,0,0,0
1.0503,0,0,0,0,0,0
1.05531,0,0,0,0,0,0
1.06035,0,0,0,0,0,0
1.06536,0,0,0,0,0,0
1.0705,0,0,0,0,0,0
1.07531,0,0,0,0,0,0
1.08028,0,0,0,0,0,0
1.08535,0,0,0,0,0,0
1.09047,0,0,0,0,0,0
1.09543,0,0,0,0,0,0
1.10038,0,0,0,0,0,0
1.10537,0,0,0,0,0,0
1.11031,0,0,0,0,0,0
1.11539,0,0,0,0,0,0
1.12037,0,0,0,0,0,0
1.12553,0,0,0,0,0,0
1.13017,0,0,0,0,0,0
1.13525,0,0,0,0,0,0
1.14025,0,0,0,0,0,0
1.14548,0,0,0,0,0,0
1.1504,0,0,0,0,0,0
1.15517,0,0,0,0,0,0
1.16025,0,0,0,0,0,0
1.16528,0,0,0,0,0,0
1.17019,0,0,0,0,0,0
1.17517,0,0,0,0,0,0
1.18017,0,0,0,0,0,0
1.18519,0,0,0,0,0,0
1.19023,0,0,0,0,0,0
1.19518,0,0,0,0,0,0
1.20026,0,0,0,0,0,0
1.20553,0,0,0,0,0,0
1.21057,0,0,0,0,0,0
1.21558,0,0,0,0,0,0
1.22046,0,0,0,0,0,0
1.22538,0,0,0,0,0,0
1.23042,0,0,0,0,0,0
1.23535,0,0,0,0,0,0
1.24036,0,0,0,0,0,0
1.24567,0,0,0,0,0,0
1.25029,0.193078,0.390761,0.0707504,0.100583,-0.0834473,0.0334861
1.25548,0.200706,0.390889,0.0681237,0.0939893,-0.0888026,0.061562
1.26023,0.207139,0.391223,0.0653726,0.0857327,-0.0944297,0.0817534
1.26529,0.212602,0.392013,0.0629993,0.0764662,-0.100934,0.099782
1.27036,0.216851,0.392064,0.0607762,0.0674242,-0.106833,0.112904
1.27529,0.220501,0.391905,0.0585877,0.0559555,-0.113221,0.121487
1.28028,0.222475,0.391073,0.0562859,0.0338989,-0.119327,0.126856
1.28529,0.222854,0.38976,0.0540716,0.00683139,-0.124991,0.129215
1.29055,0.222527,0.388456,0.0529162,-0.0176828,-0.130926,0.128607
1.29521,0.221762,0.387539,0.0528841,-0.0334145,-0.135893,0.124911
1.30019,0.219868,0.386997,0.053001,-0.0407076,-0.140903,0.119325
1.30536,0.216508,0.386294,0.0535461,-0.0475098,-0.144895,0.110243
1.31032,0.21213,0.385512,0.0544587,-0.0532337,-0.147569,0.0989168
1.31528,0.206781,0.383794,0.0557729,-0.058036,-0.150742,0.087683
1.32055,0.200754,0.381881,0.0585163,-0.062516,-0.153547,0.0754023
1.32526,0.195166,0.379881,0.0618932,-0.0714643,-0.155566,0.0643672
1.3307,0.188569,0.37822,0.0668858,-0.0916844,-0.157923,0.0496433
1.33528,0.182194,0.376392,0.0713231,-0.10555,-0.158548,0.0367358
1.34034,0.174797,0.374222,0.0763052,-0.115254,-0.158015,0.0224181
1.34532,0.167961,0.371712,0.0817367,-0.111898,-0.158312,0.0094194
1.35026,0.161608,0.368537,0.0871192,-0.106154,-0.159459,-0.00239646
1.35517,0.155884,0.364681,0.0917628,-0.119701,-0.160074,-0.0142259
1.36055,0.150406,0.359662,0.095768,-0.14858,-0.160246,-0.0306146
1.36553,0.146464,0.354526,0.0985662,-0.178642,-0.160797,-0.0576096
1.37023,0.143608,0.349505,0.0998344,-0.208823,-0.16067,-0.0793819
1.37553,0.141365,0.343999,0.0999511,-0.241154,-0.159834,-0.100419
1.38027,0.140518,0.339467,0.099717,-0.260976,-0.15862,-0.115129
1.38536,0.14067,0.335079,0.0985432,-0.275834,-0.157376,-0.12675
1.39027,0.141871,0.331421,0.0965328,-0.284408,-0.156255,-0.134118
1.39522,0.144155,0.327703,0.0936047,-0.292972,-0.157113,-0.138381
1.40026,0.147407,0.324673,0.0917191,-0.314154,-0.158605,-0.139468
1.40522,0.151407,0.322605,0.0910359,-0.341463,-0.1606,-0.137538
1.41037,0.1559,0.32113,0.0905212,-0.367084,-0.162645,-0.132832
1.41524,0.160637,0.319866,0.0895102,-0.381312,-0.164391,-0.126551
1.42023,0.165757,0.318975,0.0887965,-0.387111,-0.165518,-0.118233
1.42515,0.17077,0.320219,0.0855182,-0.386392,-0.166063,-0.105403
1.43022,0.17586,0.322153,0.0808876,-0.378804,-0.167561,-0.0751894
1.43519,0.180496,0.323947,0.0749238,-0.371249,-0.170021,-0.0370747
1.44025,0.18512,0.326695,0.0687562,-0.372311,-0.172416,-0.00377813
1.44517,0.18902,0.330693,0.063686,-0.367766,-0.174808,0.0220919
1.45028,0.192419,0.335928,0.0594363,-0.357997,-0.177308,0.043317
1.45532,0.194984,0.34087,0.0545913,-0.34567,-0.180652,0.056741
1.46031,0.197068,0.346168,0.0491359,-0.339806,-0.185043,0.0482371
1.46532,0.198751,0.352185,0.0436525,-0.336398,-0.190224,0.0248328
1.47016,0.199772,0.357683,0.0380998,-0.329423,-0.194695,0.00326093
1.47529,0.20061,0.363269,0.0324613,-0.318002,-0.199464,-0.0168278
1.48021,0.201159,0.367759,0.0268216,-0.302895,-0.202887,-0.0329608
1.48536,0.201579,0.371837,0.0211209,-0.278381,-0.205312,-0.0469969
1.4906,0.201476,0.374498,0.0163891,-0.23902,-0.207742,-0.0588316
1.49534,0.200891,0.375623,0.0123884,-0.206015,-0.20981,-0.0666888
1.50036,0.199836,0.375651,0.00853455,-0.173333,-0.211854,-0.0725903
1.50535,0.19839,0.374504,0.00522941,-0.143359,-0.213696,-0.0760884
1.51042,0.196335,0.372372,0.00326762,-0.117486,-0.215522,-0.0781088
1.51531,0.193889,0.369505,0.00271907,-0.0965522,-0.217203,-0.0786431
1.52029,0.191547,0.36644,0.00442895,-0.07696,-0.218505,-0.0777289
1.52527,0.189409,0.363326,0.00830497,-0.0590486,-0.219398,-0.0754021
1.5303,0.187371,0.359788,0.012827,-0.0381366,-0.221566,-0.0725578
1.5354,0.185625,0.356794,0.0184436,-0.00231635,-0.222897,-0.0681402
1.54025,0.184207,0.354284,0.0242852,0.0361813,-0.223412,-0.0627079
1.5454,0.182955,0.352298,0.0295232,0.0688879,-0.223808,-0.0559579
1.55027,0.181992,0.350959,0.0333534,0.0900453,-0.22406,-0.0488275
1.55528,0.182049,0.350682,0.0375259,0.104633,-0.223167,-0.0400643
