time,est_tau1,est_tau2,est_tau3,est_tau4,est_tau5,est_tau6
1.00025,0,0,0,0,0,0
1.00541,4.83571e-05,8.01556e-05,8.80467e-06,4.06946e-06,-1.11384e-05,-9.30375e-06
1.01029,0.000384667,0.000631743,6.91298e-05,-1.40087e-05,-8.77952e-05,-7.43487e-05
1.01529,0.00152279,0.00250257,0.000273152,1.27332e-05,-0.000346798,-0.000295664
1.02027,0.00413065,0.00679308,0.000739293,0.000130922,-0.000940943,-0.000804863
1.02549,0.0094438,0.0155392,0.00168726,0.000445493,-0.00215424,-0.00184663
1.0303,0.0173745,0.0286261,0.00312998,0.000932424,-0.00396085,-0.00339758
1.03536,0.0301032,0.0496697,0.00547987,0.001738,-0.00686381,-0.00588943
1.04029,0.0474125,0.0783316,0.00867709,0.00295034,-0.0108861,-0.00935781
1.04527,0.0706941,0.116975,0.0128724,0.00367724,-0.0163667,-0.0140606
1.0503,0.100513,0.166535,0.0182654,0.00624927,-0.0236411,-0.0201693
1.05531,0.136636,0.226517,0.0248214,0.00918698,-0.0326914,-0.0277076
1.06035,0.179327,0.297434,0.0325663,0.0128499,-0.0437081,-0.0369128
1.06536,0.227523,0.377529,0.0413075,0.0172122,-0.0565659,-0.0476853
1.0705,0.282193,0.468406,0.0511867,0.0206035,-0.071713,-0.0603325
1.07531,0.336788,0.559102,0.0612284,0.0245203,-0.0873724,-0.0734094
1.08028,0.396204,0.657742,0.0723299,0.028869,-0.105074,-0.0881907
1.08535,0.458523,0.761196,0.0840212,0.0337545,-0.12427,-0.104219
1.09047,0.521932,0.866521,0.0958896,0.0396379,-0.144784,-0.121448
1.09543,0.582133,0.967452,0.107233,0.0458497,-0.165356,-0.141082
1.10038,0.640474,1.06571,0.118072,0.0522207,-0.186251,-0.160669
1.10537,0.696829,1.16104,0.128366,0.058741,-0.207446,-0.180569
1.11031,0.749888,1.25104,0.138234,0.0655221,-0.228621,-0.200318
1.11539,0.800828,1.33837,0.147833,0.0725252,-0.250267,-0.22044
1.12037,0.846948,1.41808,0.156427,0.0795213,-0.271242,-0.239656
1.12553,0.890936,1.49477,0.164523,0.0868903,-0.292688,-0.259013
1.13017,0.926884,1.55773,0.171063,0.0936137,-0.310894,-0.27596
1.13525,0.96275,1.62122,0.178136,0.104414,-0.329927,-0.293429
1.14025,0.994404,1.67787,0.184881,0.117207,-0.347601,-0.309411
1.14548,1.02387,1.73105,0.191182,0.129328,-0.365064,-0.328894
1.1504,1.04824,1.77534,0.196738,0.139839,-0.380176,-0.345789
1.15517,1.06892,1.81319,0.201749,0.149193,-0.39361,-0.361275
1.16025,1.08821,1.84891,0.206602,0.158288,-0.406971,-0.376111
1.16528,1.10464,1.87963,0.21102,0.166877,-0.419066,-0.392642
1.17019,1.11837,1.90561,0.215009,0.174866,-0.429834,-0.409797
1.17517,1.13013,1.92819,0.218666,0.182369,-0.440032,-0.424567
1.18017,1.13995,1.94736,0.221939,0.189322,-0.449576,-0.437461
1.18519,1.14796,1.96347,0.224895,0.195573,-0.458412,-0.449321
1.19023,1.15452,1.97682,0.227809,0.201278,-0.466437,-0.459535
1.19518,1.15967,1.98746,0.230603,0.206358,-0.473547,-0.468057
1.20026,1.16373,1.99599,0.233323,0.211111,-0.480382,-0.475698
1.20553,1.1668,2.00285,0.235793,0.215439,-0.486866,-0.482196
1.21057,1.16879,2.0077,0.237826,0.219016,-0.492463,-0.487145
1.21558,1.17011,2.01106,0.239783,0.221857,-0.497359,-0.48778
1.22046,1.17078,2.01305,0.241448,0.227982,-0.501984,-0.488838
1.22538,1.17089,2.01393,0.242923,0.236293,-0.506515,-0.489787
1.23042,1.17054,2.01386,0.244423,0.242418,-0.510879,-0.490745
1.23535,1.16984,2.01284,0.245661,0.246994,-0.514878,-0.484596
1.24036,1.16877,2.01086,0.246651,0.25035,-0.518716,-0.472982
1.24567,1.16729,2.00787,0.247637,0.253153,-0.52242,-0.462905
1.25029,1.16583,2.00477,0.24846,0.254702,-0.525456,-0.455036
1.25548,1.16395,2.00064,0.249371,0.255509,-0.528745,-0.446959
1.26023,1.16194,1.99657,0.250321,0.255875,-0.531584,-0.439995
1.26529,1.15954,1.99161,0.251355,0.256043,-0.534187,-0.433387
1.27036,1.15718,1.98634,0.252356,0.255965,-0.53677,-0.427589
1.27529,1.1546,1.98084,0.253224,0.251308,-0.539021,-0.422584
1.28028,1.15176,1.975,0.254026,0.243378,-0.541054,-0.418089
1.28529,1.14898,1.96914,0.254996,0.236755,-0.542995,-0.414163
1.29055,1.14616,1.96297,0.256108,0.230171,-0.544894,-0.41077
1.29521,1.14367,1.95779,0.257032,0.22845,-0.546434,-0.408045
1.30019,1.14085,1.95218,0.257967,0.225502,-0.547742,-0.405892
1.30536,1.13782,1.9464,0.258901,0.222359,-0.548762,-0.404395
1.31032,1.13486,1.94077,0.259764,0.219376,-0.549915,-0.402974
1.31528,1.13195,1.93526,0.260798,0.216325,-0.550942,-0.40175
1.32055,1.12891,1.92953,0.262062,0.213012,-0.551909,-0.400646
1.32526,1.12621,1.92464,0.263235,0.203658,-0.552849,-0.400414
1.3307,1.12285,1.91906,0.264666,0.195535,-0.553505,-0.40067
1.33528,1.11997,1.91453,0.265837,0.189249,-0.55378,-0.40121
1.34034,1.11684,1.90958,0.267303,0.186945,-0.554421,-0.401871
1.34532,1.11386,1.90485,0.268838,0.187819,-0.555338,-0.402566
1.35026,1.11093,1.90002,0.270213,0.179688,-0.556145,-0.403668
1.35517,1.10809,1.89524,0.271498,0.166433,-0.55683,-0.40511
1.36055,1.10515,1.88982,0.272725,0.150838,-0.557805,-0.413847
1.36553,1.10258,1.88505,0.273722,0.135059,-0.558487,-0.420265
1.37023,1.1003,1.88067,0.274501,0.119172,-0.558979,-0.425935
1.37553,1.09791,1.8759,0.27548,0.104601,-0.559418,-0.431678
1.38027,1.09597,1.87189,0.276257,0.0933315,-0.559852,-0.435979
1.38536,1.09405,1.86774,0.27701,0.0827817,-0.560366,-0.439845
1.39027,1.09242,1.86386,0.277654,0.0743883,-0.561445,-0.442931
1.39522,1.09093,1.86009,0.278538,0.0600971,-0.562691,-0.445375
1.40026,1.08958,1.85649,0.279679,0.0421409,-0.564082,-0.447242
1.40522,1.08836,1.85315,0.280814,0.0249026,-0.565396,-0.448581
1.41037,1.0873,1.84977,0.281855,0.0108938,-0.566655,-0.44965
1.41524,1.08646,1.84674,0.282859,0.00025741,-0.567618,-0.450259
1.42023,1.08571,1.84412,0.283219,-0.00866614,-0.568447,-0.450565
1.42515,1.08512,1.84183,0.283343,-0.0153893,-0.569511,-0.444232
1.43022,1.08462,1.83964,0.283198,-0.0203989,-0.570862,-0.432612
1.43519,1.08426,1.83753,0.282801,-0.0314724,-0.572189,-0.423361
1.44025,1.08397,1.8359,0.282516,-0.0387536,-0.573537,-0.415321
1.44517,1.08375,1.83468,0.282304,-0.0441201,-0.57484,-0.408762
1.45028,1.08357,1.83362,0.281844,-0.0476519,-0.576444,-0.402812
1.45532,1.08349,1.83271,0.280983,-0.0536721,-0.578391,-0.404605
1.46031,1.0835,1.83205,0.279871,-0.0608928,-0.580591,-0.411892
